,folder,# records,eps (per record),avg func L2,avg priv err,avg priv time,avg smooth err,avg smooth time,avg total runtime
0,00000,987,0.5,4227.416645637966,7544.007949003886,0.0020251762963597415,4568.081823361979,0.00023450706203174688,0.0022596833583914885
1,01000,1000,0.5,4196.633984385568,7525.307688320427,0.0020263226181268692,4539.0657111351975,0.0002348615825176239,0.002261184200644493
2,02000,998,0.5,4167.646958183916,7514.244729353958,0.002025934761177323,4511.320553529333,0.0002349526108147386,0.0022608873719920618
3,03000,995,0.5,4196.500586945298,7533.094452145788,0.0020226305902902803,4542.4462852236,0.00023472057515053294,0.0022573511654408133
4,04000,1000,0.5,4040.150522137716,7497.675462113424,0.002023511752486229,4518.081970371356,0.0002348669469356537,0.002258378699421883
5,05000,999,0.5,4167.3242761124175,7545.0682064197035,0.002025321170732424,4625.467937394587,0.00023504636726818525,0.002260367538000609
6,06000,1000,0.5,4020.2923656078447,7467.663888250089,0.0020244471281766893,4496.603411001514,0.000234914168715477,0.0022593612968921663
7,07000,997,0.5,3975.5618367716893,7517.837559006873,0.0020239139452143205,4581.872526732722,0.0002347584234675768,0.0022586723686818973
8,08000,1000,0.5,3926.9119311479017,7405.256434022124,0.002024882361292839,4410.9804182069865,0.00023488877713680268,0.0022597711384296417
9,09000,997,0.5,3940.3405240367993,7489.892409001464,0.00202568492655051,4530.008623069454,0.00023497647064978045,0.0022606613972002906
10,10000,1000,0.5,4101.5942634532375,7531.482067659671,0.0020236201137304307,4557.228803553575,0.00023459385335445403,0.0022582139670848846
11,11000,995,0.5,4117.278248867939,7561.955417050416,0.0020252484772073564,4683.599244779561,0.00023478122811820639,0.002260029705325563
12,12000,1000,0.5,4126.671912249225,7540.193290313036,0.002024394616484642,4631.2079059036205,0.0002347235530614853,0.002259118169546127
13,13000,995,0.5,4041.1134328228723,7515.751534806416,0.0020263212559810235,4575.617174138606,0.00023501298235888458,0.002261334238339908
14,14000,1000,0.5,4002.579682470809,7435.478509388557,0.0020232550501823425,4449.767740612334,0.00023481015861034394,0.0022580652087926863
15,15000,999,0.5,3969.806837828258,7504.467529306217,0.0020228014574633227,4587.302224969277,0.00023456899313120035,0.002257370450594523
16,16000,1000,0.5,4196.156649645974,7534.335274407042,0.0020249032378196717,4650.520599583132,0.00023482581973075867,0.0022597290575504304
17,17000,1000,0.5,4073.06418749401,7533.839831604885,0.0020245881378650665,4609.045733394258,0.0002347833663225174,0.002259371504187584
18,18000,999,0.5,3931.4114980939926,7458.639512516618,0.00202496819667988,4468.607221492592,0.0002347350538194597,0.0022597032504993396
19,19000,1000,0.5,3858.363231958467,7465.068230572793,0.0020243499279022216,4523.5895369106365,0.00023473961651325226,0.002259089544415474
20,20000,1000,0.5,3778.7389649768024,7465.899203834995,0.00202549447119236,4502.582305302434,0.0002349005490541458,0.002260395020246506
21,21000,838,0.5,3917.0744856160377,7551.592547494926,0.0020243073491321827,4670.999419397476,0.0002346271937957527,0.0022589345429279355
