,name,func L2,priv err,priv time,smooth err,smooth time,total runtime
0,abboip,2986602.529408208,596758057.6530712,0.027107849717140198,201046135.99950054,0.0065456777811050415,0.03365352749824524
1,abcoij,11387.366197969848,110958677.60288572,0.0049130916595458984,37195466.57271077,0.0011889785528182983,0.006102070212364197
2,abdremlu,4807311.561217478,273455689.242434,0.012495800852775574,98039961.9399009,0.0029996782541275024,0.015495479106903076
3,abgibo,2086456.056381533,634533566.996045,0.028580158948898315,235887067.74780145,0.0068770647048950195,0.035457223653793335
4,abjoolaw,5028367.516228743,295810185.95741,0.013547897338867188,107252206.3873301,0.003265485167503357,0.016813382506370544
5,abmuyawm,5012566.654619189,713370716.0482811,0.032478004693984985,250375528.5377561,0.007865309715270996,0.04034331440925598
6,abniar,11660541.56470244,888508864.5027546,0.04027913510799408,313724564.6447619,0.00974409282207489,0.05002322793006897
7,abnovkak,4948372.404775512,346888144.6547771,0.015892580151557922,125212872.87730235,0.003853052854537964,0.019745633006095886
8,abtyff,4776112.598516988,418380400.6146825,0.019097208976745605,149269676.16795692,0.004622459411621094,0.0237196683883667
9,abwecnij,2950593.8639600165,514790039.09467316,0.02352041006088257,176412883.81860512,0.0057003796100616455,0.029220789670944214
10,acdiyito,1875663.27990679,92800104.09738119,0.004262804985046387,37493802.13688427,0.0010322928428649902,0.005295097827911377
11,acduou,2034714.504787471,746700339.66489,0.03436906635761261,273561274.5181912,0.008331090211868286,0.042700156569480896
12,acgerl,2303008.7247667033,327769142.6939101,0.014801070094108582,122324416.63716067,0.0035821199417114258,0.018383190035820007
13,acitva,5670973.867873089,145607835.22086665,0.006610408425331116,57034943.61972304,0.0015997439622879028,0.008210152387619019
14,acpegho,4896341.288133755,604753845.9001657,0.027225658297538757,219068273.61577365,0.006598904728889465,0.03382456302642822
15,acvebr,2626186.1453251145,634656905.5736773,0.028705477714538574,227047848.93156874,0.0069533586502075195,0.035658836364746094
16,adkavy,5310388.711729841,156395327.83693594,0.007045179605484009,54480310.95348227,0.0017022937536239624,0.008747473359107971
17,adnerst,2572501.607559462,344799213.904718,0.015775427222251892,127088805.67153093,0.0038089603185653687,0.01958438754081726
18,adpaifo,2092387.5603166604,601175236.9463874,0.02748231589794159,217141366.39146304,0.006655052304267883,0.03413736820220947
19,aducrisi,2806800.422515321,584741495.0992851,0.02686886489391327,214378695.30461368,0.006496250629425049,0.03336511552333832
20,afmorc,2465501.1358270333,237574482.99836683,0.010912984609603882,90025822.94130346,0.002632707357406616,0.013545691967010498
21,afpansh,2246641.8014312848,571476608.8749973,0.02572973072528839,207286767.27630404,0.006226271390914917,0.03195600211620331
22,afsfat,4013532.2029592576,705799122.7583644,0.03164234757423401,238691995.18435603,0.007623553276062012,0.03926590085029602
23,afweka,7107594.544303576,646565978.4809144,0.02961607277393341,229046993.91141933,0.007143840193748474,0.036759912967681885
24,agcowktu,2496513.1820794153,430096273.7956747,0.019349634647369385,151555313.26160643,0.004690781235694885,0.02404041588306427
25,agdrea,4333532.500004127,551372776.2164487,0.02511255443096161,199975564.01428413,0.006080001592636108,0.031192556023597717
26,aggjuo,2177821.300540907,538369010.003648,0.02439124882221222,191884407.72603402,0.005898728966712952,0.03028997778892517
27,agivle,5936923.293313465,625706249.4924122,0.028328299522399902,218386501.25243708,0.006861180067062378,0.03518947958946228
28,agjitfa,2971941.2052513757,710728365.6805496,0.032703936100006104,250922529.67769206,0.00790773332118988,0.040611669421195984
29,agsuec,1811007.0575631668,570263633.4580599,0.02602599561214447,215660201.34966493,0.006283938884735107,0.03230993449687958
30,agvexpia,3333679.566933286,240626336.53829405,0.011021748185157776,86996913.05204365,0.002668723464012146,0.013690471649169922
31,aichash,3701214.4821509696,136790149.32644707,0.006244540214538574,48251752.590579644,0.0015061646699905396,0.007750704884529114
32,aimidd,2160110.2789674583,324312562.2145992,0.014665886759757996,107589940.7957688,0.0035560429096221924,0.018221929669380188
33,ainplin,4942870.041729553,504091755.246616,0.022928446531295776,181864187.3190987,0.005541354417800903,0.02846980094909668
34,aitpygg,9727044.5525845,622438042.9205829,0.028255775570869446,228728718.91775048,0.0068380385637283325,0.03509381413459778
35,aivtytan,5008330.827247719,761494609.9597056,0.03457896411418915,279338209.33601016,0.008379653096199036,0.042958617210388184
36,aiwalb,4128958.9740377907,319352448.58957297,0.014931648969650269,120112711.21887198,0.003611326217651367,0.018542975187301636
37,ajixdo,2212291.493175668,317524587.75423944,0.01452365517616272,110723292.67975916,0.0035149455070495605,0.01803860068321228
38,ajsips,2519682.078651383,711784700.2618744,0.03252728283405304,253206807.73140913,0.007849395275115967,0.040376678109169006
39,ajsnedsi,4679479.500689564,486942354.41327226,0.022193610668182373,171967516.00845832,0.005366727709770203,0.027560338377952576
40,ajthof,5241849.694030637,533556048.3144619,0.02397194504737854,184603869.45380297,0.005799919366836548,0.029771864414215088
41,ajtreo,14173203.458894173,55251375.684435226,0.002519369125366211,19047793.751480423,0.0006125122308731079,0.003131881356239319
42,akgicjud,3069611.0825798637,859463517.4126894,0.03963306546211243,319515923.7335627,0.009583011269569397,0.049216076731681824
43,akvutvo,1638881.5213024598,500061707.30263615,0.023241892457008362,186794715.81480518,0.00561736524105072,0.028859257698059082
44,akyeerbi,3762023.000990757,318015828.9534051,0.01463271677494049,119450421.6151561,0.00352419912815094,0.01815691590309143
45,aldhidd,5813.448855623366,391562634.34944594,0.017636358737945557,131626538.97556397,0.004274338483810425,0.02191069722175598
46,alnihi,4876100.572993069,824713039.6881874,0.037302762269973755,294841287.9938097,0.009013935923576355,0.04631669819355011
47,alsheth,5796991.451561408,728581143.2932402,0.03297926485538483,259312740.99657935,0.007985368371009827,0.04096463322639465
48,amciuca,2362993.792661672,469802767.8073507,0.02108636498451233,166737353.62544057,0.005081146955490112,0.02616751194000244
49,amknywr,3376230.2563284803,699480184.133021,0.03174474835395813,254612346.88949075,0.007654428482055664,0.039399176836013794
50,amnurgji,1765701.6068313622,304343656.8918263,0.013749033212661743,107009546.72080477,0.0033279061317443848,0.017076939344406128
51,amvefarl,2328423.478267921,370701364.8367455,0.01669830083847046,130957849.301449,0.004041552543640137,0.020739853382110596
52,amwibs,1494835.2005430518,576215720.4796126,0.02644723653793335,203718013.19932696,0.006402000784873962,0.03284923732280731
53,ancedvab,5046912.239069768,189265170.72630748,0.008589088916778564,69704364.73839173,0.0020806342363357544,0.010669723153114319
54,ancorjo,9970566.895061769,481178090.15335095,0.02204178273677826,170482821.13964537,0.005323037505149841,0.0273648202419281
55,ancyclsu,6390903.279111139,638282627.3563763,0.028897196054458618,219547509.1483575,0.006991669535636902,0.03588886559009552
56,andyol,1543268.0890649625,689051111.0544763,0.03098975121974945,247267255.79392377,0.007515251636505127,0.03850500285625458
57,aniajcr,1412518.956216575,955813724.6486382,0.04350946843624115,345999107.3134864,0.01052163541316986,0.05403110384941101
58,anidgib,4301188.956072956,899641888.236601,0.04101097583770752,317333936.00749695,0.0099315345287323,0.05094251036643982
59,ankped,2323115.0169321285,273993300.3696265,0.012600094079971313,103566971.88635635,0.0030512213706970215,0.015651315450668335
60,ansyut,4722844.609506479,464019688.19485587,0.02099493145942688,166910166.09748274,0.005086719989776611,0.02608165144920349
61,anucks,1341187.508443398,198740831.42011052,0.00916619598865509,71875852.50557555,0.0022155195474624634,0.011381715536117554
62,anupwr,2712232.535178287,184573363.81741172,0.008397459983825684,69360188.29387379,0.002027273178100586,0.01042473316192627
63,apigcyd,2182928.1645338335,734791081.6720634,0.03382392227649689,274308703.98279613,0.008178144693374634,0.04200206696987152
64,appsri,2629797.437344682,198733540.95687562,0.00901380181312561,72572811.8843961,0.002177491784095764,0.011191293597221375
65,apsskyul,2088496.6668728795,355423923.89819604,0.016133055090904236,133180464.26102564,0.003897562623023987,0.020030617713928223
66,aquawaw,1435270.76719993,768381618.1612182,0.03508180379867554,280910661.72824764,0.008481413125991821,0.04356321692466736
67,arcksy,4736082.44421175,910009359.974196,0.04138554632663727,314830182.57332087,0.009977608919143677,0.051363155245780945
68,arcuim,4839517.032484835,390444689.21202636,0.017893239855766296,139727644.7173301,0.004302531480789185,0.02219577133655548
69,arcurbig,2694115.404055075,427030139.0829021,0.019530072808265686,157461024.9709274,0.004729658365249634,0.02425973117351532
70,arhilby,5734986.547426803,739403172.0840302,0.033558189868927,253830203.64996493,0.008110687136650085,0.04166887700557709
71,arlwras,2518373.8349235468,704344461.1024194,0.031958892941474915,247078932.88158223,0.007708296179771423,0.03966718912124634
72,arphaud,4635074.238956696,405817210.06354886,0.01866905391216278,152087560.50828743,0.004508063197135925,0.023177117109298706
73,artgagvu,2109941.4189948277,659204634.5423746,0.029688283801078796,227096164.10739654,0.007178246974945068,0.036866530776023865
74,ascley,2679351.443967828,853610755.1296685,0.038787901401519775,314039938.4768405,0.009348884224891663,0.04813678562641144
75,ashgati,3326154.0534198117,260192560.10415974,0.011718586087226868,93453277.98797992,0.002836957573890686,0.014555543661117554
76,asigno,5459934.651420733,932629793.1257616,0.04217001795768738,314947978.2584479,0.01019895076751709,0.05236896872520447
