,folder,# records,eps (per record),avg func L2,avg priv err,avg priv time,avg smooth err,avg smooth time,avg total runtime
0,00000,987,1.0,4227.416645637966,7099.623474044245,0.002933683849516369,4171.628571330413,0.00044873365877609486,0.003382417508292464
1,01000,1000,1.0,4196.633984385568,7072.8825463559515,0.002937532439827919,4151.481648198003,0.0004486674517393112,0.00338619989156723
2,02000,998,1.0,4167.646958183916,7077.335105736921,0.0029366459391398994,4121.4248071746315,0.0004475312475451009,0.0033841771866850003
3,03000,995,1.0,4196.500586945298,7095.495512560885,0.0029345089766248385,4154.511516437011,0.0004474423039498641,0.0033819512805747026
4,04000,1000,1.0,4040.150522137716,7051.391071275024,0.0029360481351614,4119.80175778225,0.00044831424951553346,0.0033843623846769337
5,05000,999,1.0,4167.3242761124175,7075.953719607677,0.002935707106723919,4234.024230316977,0.0004483306401962036,0.0033840377469201224
6,06000,1000,1.0,4020.2923656078447,7031.609150617128,0.002934798821806908,4102.2738649941,0.0004480245262384415,0.0033828233480453496
7,07000,997,1.0,3975.5618367716893,7069.074905103831,0.002937150919210229,4188.029381683563,0.00044863555232883096,0.00338578647153906
8,08000,1000,1.0,3926.9119311479017,7011.132438048522,0.002937614411115646,4016.396497955411,0.0004486309736967087,0.0033862453848123547
9,09000,997,1.0,3940.3405240367993,7047.84902633222,0.0029368258885658135,4134.172639893604,0.00044894003222435865,0.003385765920790172
10,10000,1000,1.0,4101.5942634532375,7067.432265210162,0.002936868265271187,4161.675231031571,0.0004482703357934952,0.003385138601064682
11,11000,995,1.0,4117.278248867939,7056.395516117868,0.002932395078429026,4289.306697958704,0.000447732779248875,0.003380127857677901
12,12000,1000,1.0,4126.671912249225,7050.303341175277,0.002935161679983139,4238.077049276965,0.00044881194829940794,0.0033839736282825473
13,13000,995,1.0,4041.1134328228723,7062.743332759675,0.0029370092866408764,4187.551777408152,0.0004482485541147203,0.0033852578407555967
14,14000,1000,1.0,4002.579682470809,7021.4615157959515,0.002936533272266388,4054.4672259259287,0.00044892244040966033,0.0033854557126760483
15,15000,999,1.0,3969.806837828258,7063.129624914798,0.0029350405072306727,4190.767156194582,0.0004489788630822519,0.0033840193703129247
16,16000,1000,1.0,4196.156649645974,7062.4058944521685,0.002938295215368271,4258.128392431181,0.0004493013173341751,0.003387596532702446
17,17000,1000,1.0,4073.06418749401,7057.015795659904,0.002933123245835304,4218.673454534601,0.0004483595788478851,0.0033814828246831892
18,18000,999,1.0,3931.4114980939926,7021.600641725034,0.0029335112513245287,4069.389381558217,0.000448584839985058,0.003382096091309587
19,19000,1000,1.0,3858.363231958467,7023.4220187304645,0.0029333294183015823,4125.132702623239,0.0004483729004859924,0.0033817023187875748
20,20000,1000,1.0,3778.7389649768024,7019.830970806637,0.0029347264021635055,4101.169354861211,0.00044864052534103395,0.0033833669275045394
21,21000,838,1.0,3917.0744856160377,7054.164220475842,0.002934025373834414,4272.140928755912,0.0004483121569515128,0.003382337530785927
