,folder,# records,eps (per record),avg func L2,avg priv err,avg priv time,avg smooth err,avg smooth time,avg total runtime
0,00000,987,0.5,4227.416645637966,13311.60154518939,0.0029249893616518836,5201.732913689195,0.00045473180643330956,0.003379721168085193
1,01000,1000,0.5,4196.633984385568,13295.960853406268,0.0029214617013931274,5182.544490153509,0.0004572075009346008,0.0033786692023277283
2,02000,998,0.5,4167.646958183916,13301.33034459708,0.0029222196740712335,5154.982434977937,0.0004572640499753321,0.0033794837240465657
3,03000,995,0.5,4196.500586945298,13306.999991526749,0.002918615772496516,5181.418041491269,0.0004568454158965068,0.0033754611883930227
4,04000,1000,0.5,4040.150522137716,13282.183588780485,0.0029198983460664747,5165.902429201144,0.00045721951127052307,0.0033771178573369976
5,05000,999,0.5,4167.3242761124175,13305.869232616049,0.0029200847531940127,5252.696496477872,0.00045782930261499294,0.0033779140558090055
6,06000,1000,0.5,4020.2923656078447,13287.37277056361,0.002921379506587982,5148.6523102680385,0.0004575240910053253,0.0033789035975933072
7,07000,997,0.5,3975.5618367716893,13290.995420647705,0.002921660228024275,5220.554760691499,0.0004577153215676158,0.003379375549591891
8,08000,1000,0.5,3926.9119311479017,13255.342304359798,0.0029211808741092683,5081.209091714658,0.0004573797285556793,0.0033785606026649475
9,09000,997,0.5,3940.3405240367993,13294.994729206315,0.002919856111407878,5172.617989341074,0.000457431601664965,0.003377287713072843
10,10000,1000,0.5,4101.5942634532375,13306.900711531782,0.0029200354516506193,5197.7765211270735,0.00045729517936706545,0.0033773306310176847
11,11000,995,0.5,4117.278248867939,13290.087236115753,0.002920215228694168,5311.46551572675,0.00045704932967622074,0.0033772645583703886
12,12000,1000,0.5,4126.671912249225,13293.011302879355,0.0029166186600923538,5273.408978457276,0.0004572882354259491,0.003373906895518303
13,13000,995,0.5,4041.1134328228723,13305.41595701208,0.0029192093778495215,5229.9223454555,0.0004575856666469095,0.003376795044496431
14,14000,1000,0.5,4002.579682470809,13265.898315647968,0.002919118985533714,5100.660486611548,0.00045694763958454134,0.0033760666251182554
15,15000,999,0.5,3969.806837828258,13282.00064770178,0.002919417020078894,5236.307310262293,0.00045851597914824615,0.00337793299922714
16,16000,1000,0.5,4196.156649645974,13293.144170302472,0.0029214483946561815,5282.748236498777,0.00045855773985385896,0.0033800061345100403
17,17000,1000,0.5,4073.06418749401,13302.783046103621,0.00292156808078289,5253.102348051339,0.0004585192650556564,0.0033800873458385465
18,18000,999,0.5,3931.4114980939926,13277.454893226228,0.0029202742321235878,5123.639018004841,0.0004587867954471806,0.003379061027570768
19,19000,1000,0.5,3858.363231958467,13266.665910209018,0.002920312941074371,5169.389860406835,0.00045790134370327,0.003378214284777641
20,20000,1000,0.5,3778.7389649768024,13268.209520108601,0.00291800794005394,5157.165479341999,0.000458680585026741,0.003376688525080681
21,21000,838,0.5,3917.0744856160377,13284.709875930414,0.0029195968355085512,5309.418609348836,0.00045741751327719495,0.003377014348785746
