,name,total length of time,total eps,func L2,approx err,priv err,priv loss,smooth err,smooth loss,approx time,priv time,smooth time,total runtime
0,abboip,475200.0,0.10999999999999999,2986602.5294081774,426430.15751092153,933319.3069304272,817411.1579836946,903673.6795290444,789612.7916829981,0.7387820780277252,0.0004964619874954224,0.0933142900466919,0.8325928300619125
1,abcoij,86400.0,0.02,11387.366197957117,4272.552335548019,8202.703734541996,6143.916502601487,7178.534466434459,5103.274560272054,0.0401521772146225,6.431341171264648e-05,0.0011369138956069946,0.04135340452194214
2,abdremlu,259200.0,0.060000000000000005,4807311.561216996,303698.02477784135,688585.6361158474,612997.9574853732,847247.5108772218,788200.4031110101,0.6792804151773453,0.0004053264856338501,0.11000774800777435,0.7896934896707535
3,abgibo,561600.0,0.12999999999999998,2086456.0563817425,543050.9780645741,1240688.5327362092,1090822.6690981714,1283912.8600235085,1153119.4382535121,1.236643671989441,0.0007569640874862671,0.18064534664154053,1.4180459827184677
4,abjoolaw,259200.0,0.060000000000000005,5028367.516228345,230720.50585364128,578625.3238296319,521271.0040509178,535888.9117536771,479119.73970666656,0.6158542186021805,0.000355646014213562,0.09031158685684204,0.7065214514732361
5,abmuyawm,604800.0,0.13999999999999999,5012566.654619216,566710.4131798717,1439916.5596325325,1309581.7592164476,1270112.2406003687,1130348.9894329277,1.5568765699863434,0.0008471012115478516,0.2329082041978836,1.7906318753957748
6,abniar,777600.0,0.18000000000000002,11660541.564702295,692675.2632473503,1810287.2691613263,1651761.6126399953,1720548.8202400517,1561171.3404827232,1.9218286126852036,0.001090124249458313,0.28790444135665894,2.210823178291321
7,abnovkak,302400.0,0.07,4948372.404775424,246226.99784192914,490613.9040822032,411852.80166928144,604266.8088891308,543042.2692889777,0.47389377653598785,0.0003453493118286133,0.06577068567276001,0.5400098115205765
8,abtyff,388800.0,0.09,4776112.598516562,407708.40262251784,896359.995282719,788229.5472418765,1121924.2297342692,1024980.7175797616,0.8829935938119888,0.0005362629890441895,0.13445594906806946,1.0179858058691025
9,abwecnij,432000.0,0.09999999999999999,2950593.8639603555,426740.3063095525,971461.7435847668,853734.9839129049,2014257.5658650748,1946213.2282890885,1.0059976130723953,0.0005788356065750122,0.14186570048332214,1.1484421491622925
