,name,func L2,priv err,priv time,smooth err,smooth time,total runtime
0,abboip,2986602.529408208,30127479.377251375,0.017986878752708435,16437133.030181587,0.003490552306175232,0.021477431058883667
1,abcoij,11387.366197969848,5516639.912750315,0.0032740533351898193,2578015.05119224,0.0006332248449325562,0.0039072781801223755
2,abdremlu,4807311.561217478,14442715.351490308,0.00835825502872467,10382154.18174619,0.0016216933727264404,0.00997994840145111
3,abgibo,2086456.056381533,32026611.683468655,0.019172757863998413,19638564.04345817,0.0037205368280410767,0.02289329469203949
4,abjoolaw,5028367.516228743,14733158.738128029,0.008991032838821411,9002037.337650428,0.001741647720336914,0.010732680559158325
5,abmuyawm,5012566.654619189,36389205.91515571,0.021652281284332275,22130202.509724792,0.004199489951133728,0.025851771235466003
6,abniar,11660541.56470244,44327672.17459855,0.026871278882026672,26148225.89756542,0.005223587155342102,0.032094866037368774
7,abnovkak,4948372.404775512,17778904.28120502,0.01059722900390625,10348439.668937251,0.0020573288202285767,0.012654557824134827
8,abtyff,4776112.598516988,20937351.229422003,0.012698173522949219,13650183.193628268,0.0024784207344055176,0.015176594257354736
9,abwecnij,2950593.8639600165,26256563.49971996,0.015615284442901611,15509259.29926688,0.003039926290512085,0.018655210733413696
10,acdiyito,1875663.27990679,4731505.24734042,0.0028366297483444214,3225965.810588028,0.0005486011505126953,0.0033852308988571167
11,acduou,2034714.504787471,38220469.798360825,0.022800862789154053,22340822.26814879,0.004428014159202576,0.02722887694835663
12,acgerl,2303008.7247667033,15800980.463950802,0.00976879894733429,9821191.473451095,0.0018994510173797607,0.01166824996471405
13,acitva,5670973.867873089,7280929.226024189,0.00437261164188385,4362946.894799931,0.0008507519960403442,0.005223363637924194
14,acpegho,4896341.288133755,29471507.397284504,0.018048107624053955,17032948.466707442,0.003500044345855713,0.021548151969909668
15,acvebr,2626186.1453251145,31356508.495832536,0.018998682498931885,17095202.179503765,0.003706425428390503,0.022705107927322388
16,adkavy,5310388.711729841,7840621.73056441,0.004660964012145996,4626064.795945365,0.0009077340364456177,0.005568698048591614
17,adnerst,2572501.607559462,17379559.501769524,0.010458067059516907,10392094.766958553,0.0020367205142974854,0.012494787573814392
18,adpaifo,2092387.5603166604,30364930.037397955,0.018221333622932434,17287865.94056984,0.0035562664270401,0.021777600049972534
19,aducrisi,2806800.422515321,29886698.02644982,0.017876312136650085,20707705.465518292,0.0034829527139663696,0.021359264850616455
20,afmorc,2465501.1358270333,11949603.922494903,0.007250681519508362,7003195.115501393,0.0014107227325439453,0.008661404252052307
21,afpansh,2246641.8014312848,28771797.737193227,0.017092019319534302,16770804.703008575,0.0033249706029891968,0.0204169899225235
22,afsfat,4013532.2029592576,35647659.994422324,0.020958825945854187,21330673.197397772,0.004089102149009705,0.02504792809486389
23,afweka,7107594.544303576,32831840.627289906,0.019663751125335693,19669238.50048908,0.0038286447525024414,0.023492395877838135
24,agcowktu,2496513.1820794153,21647755.734808113,0.012816101312637329,11913422.623346057,0.0025042593479156494,0.015320360660552979
25,agdrea,4333532.500004127,27984188.886507623,0.016627848148345947,20784703.293292344,0.0032323598861694336,0.01986020803451538
26,aggjuo,2177821.300540907,27195955.52158229,0.016173258423805237,16909606.153862584,0.0031443238258361816,0.01931758224964142
27,agivle,5936923.293313465,31567691.415670536,0.01880057156085968,17924081.64564769,0.003670796751976013,0.022471368312835693
28,agjitfa,2971941.2052513757,35709098.212216526,0.021599337458610535,19964325.987805143,0.00421142578125,0.025810763239860535
