,folder,# records,eps (per record),avg func L2,avg priv err,avg priv time,avg smooth err,avg smooth time,avg total runtime
0,00000,987,0.5,4227.416645637966,13309.835301922427,0.0029623286672155425,6085.611642247786,0.000445921007985402,0.0034082496752009445
1,01000,1000,0.5,4196.633984385568,13291.518997325484,0.0029629743695259096,6072.33006570376,0.0004451196640729904,0.0034080940335989
2,02000,998,0.5,4167.646958183916,13296.445665864541,0.0029631638096903035,6047.171470537875,0.00044565980802318135,0.003408823617713485
3,03000,995,0.5,4196.500586945298,13310.735943996506,0.002966193967129118,6088.165598772139,0.0004461896928710554,0.003412383660000173
4,04000,1000,0.5,4040.150522137716,13281.557311270384,0.00296865613758564,6055.623525139525,0.000446203276515007,0.003414859414100647
5,05000,999,0.5,4167.3242761124175,13301.746582803738,0.0029664311531905057,6146.786921398978,0.00044592956940571704,0.0034123607225962226
6,06000,1000,0.5,4020.2923656078447,13269.310671163184,0.002963561832904816,6051.568819373992,0.00044579720497131347,0.003409359037876129
7,07000,997,0.5,3975.5618367716893,13307.368712597232,0.0029664917689268904,6128.020533442917,0.0004465148495575609,0.0034130066184844513
8,08000,1000,0.5,3926.9119311479017,13269.282618752348,0.0029654576033353807,5993.187590214567,0.00044661442935466767,0.0034120720326900485
9,09000,997,0.5,3940.3405240367993,13287.226085313068,0.0029683347152491867,6075.2897691201215,0.00044688824545536024,0.003415222960704547
10,10000,1000,0.5,4101.5942634532375,13300.31607163042,0.00296613772213459,6093.779369774491,0.00044657152891159057,0.0034127092510461807
11,11000,995,0.5,4117.278248867939,13308.403405232495,0.0029634118978701645,6207.933731425433,0.0004460611684837533,0.0034094730663539177
12,12000,1000,0.5,4126.671912249225,13287.142459695795,0.002966007515788078,6157.486199091099,0.00044662530720233917,0.003412632822990417
13,13000,995,0.5,4041.1134328228723,13302.126562342182,0.0029654581492869697,6122.024235864972,0.00044658239462866856,0.003412040543915638
14,14000,1000,0.5,4002.579682470809,13266.101602924262,0.0029657035768032073,6021.001179184878,0.00044666925072669983,0.003412372827529907
15,15000,999,0.5,3969.806837828258,13287.007466759991,0.002964829733302524,6130.537151787025,0.00044648811683521136,0.0034113178501377355
16,16000,1000,0.5,4196.156649645974,13303.268925074062,0.00296199069917202,6167.692238508521,0.0004458775222301483,0.0034078682214021684
17,17000,1000,0.5,4073.06418749401,13285.778865326574,0.0029662565737962722,6133.478312363071,0.00044671528041362763,0.0034129718542098997
18,18000,999,0.5,3931.4114980939926,13274.228906485192,0.002966939463271751,6040.569848998328,0.0004468839746099096,0.0034138234378816605
19,19000,1000,0.5,3858.363231958467,13266.30258502629,0.002965304359793663,6077.126356018879,0.0004466869235038757,0.0034119912832975387
20,20000,1000,0.5,3778.7389649768024,13270.491640516804,0.0029654676467180253,6069.87497792601,0.00044654132425785067,0.003412008970975876
21,21000,838,0.5,3917.0744856160377,13281.356511603253,0.0029637360309644075,6209.81829142703,0.0004465215814995595,0.003410257612463967
