,folder,# records,eps (per record),avg func L2,avg priv err,avg priv time,avg smooth err,avg smooth time,avg total runtime
0,00000,987,2.0,4227.416645637966,4055.037697270814,0.00202327747777361,3917.6720687247853,0.00023800641932386033,0.0022612838970974703
1,01000,1000,2.0,4196.633984385568,4023.707980602137,0.0020235534608364107,3891.841255801272,0.00023804891109466551,0.0022616023719310764
2,02000,998,2.0,4167.646958183916,4003.0611110797063,0.0020252867547686927,3861.208395037111,0.0002380632207484427,0.0022633499755171354
3,03000,995,2.0,4196.500586945298,4029.2307797085537,0.0020231180304857953,3899.2574094172996,0.00023825441173572635,0.0022613724422215218
4,04000,1000,2.0,4040.150522137716,3941.8282081739253,0.002024066835641861,3851.6293209488645,0.0002381567656993866,0.0022622236013412475
5,05000,999,2.0,4167.3242761124175,4037.270664155476,0.0020258367151111453,3974.303753070762,0.0002384354193528016,0.002264272134463947
6,06000,1000,2.0,4020.2923656078447,3929.5806423381773,0.0020262588411569596,3832.526656140354,0.00023818588256835938,0.002264444723725319
7,07000,997,2.0,3975.5618367716893,4007.3718168651317,0.002024605765624893,3937.763340041296,0.00023823478814950558,0.0022628405537743986
8,08000,1000,2.0,3926.9119311479017,3791.770535295292,0.0020240004062652586,3721.543431211003,0.000237947940826416,0.0022619483470916746
9,09000,997,2.0,3940.3405240367993,3940.417100845455,0.0020255329257387335,3861.3555955845763,0.0002383845918994012,0.002263917517638135
10,10000,1000,2.0,4101.5942634532375,4024.0268104693046,0.002024636089801788,3910.220503451178,0.00023820056021213532,0.0022628366500139236
11,11000,995,2.0,4117.278248867939,4062.946751745757,0.0020248478680998834,4031.0800407963125,0.0002384748590651469,0.0022633227271650303
12,12000,1000,2.0,4126.671912249225,4013.2056528495173,0.002026867836713791,3967.128041934664,0.00023871776461601257,0.0022655856013298037
13,13000,995,2.0,4041.1134328228723,4002.3322099094166,0.0020251613915266103,3923.808088687389,0.00023848478818059568,0.002263646179707206
14,14000,1000,2.0,4002.579682470809,3853.1280720603418,0.0020244511514902115,3777.642877151354,0.0002381816953420639,0.0022626328468322754
15,15000,999,2.0,3969.806837828258,3961.9635674643528,0.0020253076120181845,3914.664992080341,0.0002384649084375666,0.0022637725204557512
16,16000,1000,2.0,4196.156649645974,3999.7707466170386,0.0020265016853809356,3977.1615054408967,0.00023853799700736998,0.0022650396823883055
17,17000,1000,2.0,4073.06418749401,4014.7686779478745,0.0020257414430379867,3963.7500119008946,0.00023854860663414002,0.0022642900496721266
18,18000,999,2.0,3931.4114980939926,3880.283120801141,0.0020249702103503115,3791.0894285791996,0.000238209873348385,0.0022631800836986965
19,19000,1000,2.0,3858.363231958467,3895.515053182369,0.0020255322456359864,3848.2456562809816,0.00023856523633003236,0.002264097481966019
20,20000,1000,2.0,3778.7389649768024,3868.057277963795,0.002023600682616234,3815.658334826643,0.0002380903959274292,0.002261691078543663
21,21000,838,2.0,3917.0744856160377,4015.66948973916,0.002024983644912237,4016.9104373950354,0.0002384145248476816,0.0022633981697599186
