,folder,# records,eps (per record),avg func L2,avg priv err,avg priv time,avg smooth err,avg smooth time,avg total runtime
0,00000,987,2.0,4227.416645637966,4286.821977750386,0.0029375900975838983,3868.70340951261,0.00045320634723555113,0.0033907964448194492
1,01000,1000,2.0,4196.633984385568,4259.103675390868,0.002938552975654602,3850.7812406863263,0.00045399299263954165,0.0033925459682941435
2,02000,998,2.0,4167.646958183916,4248.845067523527,0.002940466892504262,3819.618246483212,0.00045406094235265424,0.0033945278348569163
3,03000,995,2.0,4196.500586945298,4267.8314535172385,0.002938270104590373,3855.621062468622,0.0004534556488295895,0.0033917257534199627
4,04000,1000,2.0,4040.150522137716,4210.0935723128505,0.0029369990527629854,3821.7144795526133,0.00045293426513671873,0.0033899333178997043
5,05000,999,2.0,4167.3242761124175,4245.5302174630915,0.0029394079346556565,3935.4488790222076,0.00045365942371738803,0.0033930673583730444
6,06000,1000,2.0,4020.2923656078447,4186.806104129642,0.0029393305778503418,3801.6218771703534,0.00045388533174991607,0.0033932159096002577
7,07000,997,2.0,3975.5618367716893,4234.330633087009,0.0029405207338639226,3902.8363757924135,0.0004542103203512362,0.0033947310542151586
8,08000,1000,2.0,3926.9119311479017,4144.536437997522,0.002941611409187317,3707.823259278825,0.00045437614619731905,0.0033959875553846363
9,09000,997,2.0,3940.3405240367993,4209.910215625822,0.0029382830039189835,3831.5701746470645,0.0004536860894295971,0.0033919690933485805
10,10000,1000,2.0,4101.5942634532375,4235.6344161630395,0.0029399202316999435,3870.3235422620596,0.0004538141041994095,0.003393734335899353
11,11000,995,2.0,4117.278248867939,4235.924547863303,0.002940231621564932,3992.338275874836,0.0004536323361660368,0.0033938639577309688
12,12000,1000,2.0,4126.671912249225,4210.155033969373,0.002940851792693138,3935.064799149743,0.00045352698862552644,0.0033943787813186647
13,13000,995,2.0,4041.1134328228723,4228.36914627958,0.002944798535438039,3890.895671777878,0.0004540721675259384,0.0033988707029639774
14,14000,1000,2.0,4002.579682470809,4162.961464110467,0.0029417465180158614,3755.3434138656958,0.00045379120111465454,0.003395537719130516
15,15000,999,2.0,3969.806837828258,4225.936501651884,0.002941506850468862,3892.081101994281,0.00045388027115746425,0.0033953871216263263
16,16000,1000,2.0,4196.156649645974,4227.267378989621,0.002942118659615517,3951.5120470768065,0.000454024612903595,0.0033961432725191118
17,17000,1000,2.0,4073.06418749401,4224.553934894729,0.0029428775012493133,3929.2991740496623,0.00045465239882469175,0.003397529900074005
18,18000,999,2.0,3931.4114980939926,4170.049708765751,0.0029431645636324648,3766.1404624358242,0.00045422453422088165,0.0033973890978533463
19,19000,1000,2.0,3858.363231958467,4169.58019819772,0.0029425867348909377,3827.1348391345205,0.00045421740412712096,0.0033968041390180586
20,20000,1000,2.0,3778.7389649768024,4154.723930548364,0.00294395811855793,3796.9542958993943,0.0004544747173786163,0.0033984328359365464
21,21000,838,2.0,3917.0744856160377,4207.2346532290585,0.0029381341289791115,3987.6787548810294,0.000454078052806399,0.0033922121817855106
