,name,total length of time,total eps,func L2,approx err,priv err,priv loss,smooth err,smooth loss,approx time,priv time,smooth time,total runtime
0,abboip,475200.0,0.032999999999999995,2986602.5294081774,741886.9020647539,1705224.7026833203,1505583.0329503384,1551622.7772444915,1349020.5282072595,0.4904041439294815,0.0003651082515716553,0.03377342224121094,0.5245426744222641
1,abcoij,86400.0,0.005999999999999999,11387.366197957117,5470.411748452872,10898.53655295575,8404.271458334719,9450.33985485037,6787.595293664114,0.024138063192367554,5.906820297241211e-05,0.0007290542125701904,0.024926185607910156
2,abdremlu,259200.0,0.018,4807311.561216996,495497.7003378358,1135975.941131601,1018228.712207502,1134451.6515907887,1016041.2229772783,0.2460622638463974,0.000211372971534729,0.02404789626598358,0.2703215330839157
3,abgibo,561600.0,0.039,2086456.0563817425,812910.1252853189,2294976.88961676,2132515.139360383,2010951.2865354258,1833766.691990353,0.5548136234283447,0.0004518777132034302,0.04975020885467529,0.6050157099962234
4,abjoolaw,259200.0,0.018,5028367.516228345,400470.32604411326,1030538.5376923004,939337.4467115791,915360.4310511427,819587.857258457,0.25514233112335205,0.0002069622278213501,0.021730706095695496,0.2770799994468689
5,abmuyawm,604800.0,0.042,5012566.654619216,945483.9396659166,2499412.3841585005,2299281.603555308,2145885.950384489,1920245.59883729,0.6187207847833633,0.0004832148551940918,0.05336752533912659,0.672571524977684
6,abniar,777600.0,0.05400000000000001,11660541.564702295,1146484.249114848,3129296.3861529403,2888835.1168275545,2754447.4885314647,2494117.474149776,0.7710722982883453,0.000619158148765564,0.06638294458389282,0.8380744010210037
7,abnovkak,302400.0,0.020999999999999998,4948372.404775424,355770.56631461787,862620.5830708006,773182.527804987,872332.6129801039,792013.7964200391,0.22824186086654663,0.00022727251052856445,0.018105819821357727,0.24657495319843292
8,abtyff,388800.0,0.026999999999999996,4776112.598516562,637216.3187854512,1614708.6813555278,1466023.7691398433,1609185.5013906513,1468199.3362056133,0.3660352975130081,0.0003098994493484497,0.0339275598526001,0.40027275681495667
9,abwecnij,432000.0,0.029999999999999995,2950593.8639603555,625489.1047579212,1803724.4089439877,1683766.1581980707,2422756.5629250077,2323510.5094029135,0.45262137055397034,0.00034606456756591797,0.03926628828048706,0.4922337234020233
10,acdiyito,86400.0,0.005999999999999999,1875663.2799076978,112695.45945243858,353652.2091821047,334030.6633696025,296725.0609637478,274020.71853848663,0.08320434391498566,6.864964962005615e-05,0.007774963974952698,0.09104795753955841
11,acduou,648000.0,0.045000000000000005,2034714.5047876246,980680.0316417712,2535135.440603988,2307930.703884769,2200847.2900061263,1958116.472399687,0.6414325684309006,0.0005070418119430542,0.052250877022743225,0.6941904872655869
12,acgerl,302400.0,0.020999999999999998,2303008.7247671373,483189.13017592893,1143942.1671700997,1017492.4926615482,1074600.7197806567,950258.4308267683,0.2742965668439865,0.00023278594017028809,0.023016929626464844,0.29754628241062164
13,acitva,129600.0,0.009,5670973.867873101,186038.35772816767,473607.7693660214,428320.1323206752,422319.85451271886,375374.27038210904,0.12238189578056335,0.00010028481483459473,0.009543225169181824,0.13202540576457977
14,acpegho,518400.0,0.036,4896341.288133685,742706.5773376864,1996187.351282216,1824336.0763785946,1770977.1322031561,1595739.99982296,0.5118819624185562,0.00040036439895629883,0.04146069288253784,0.5537430197000504
15,acvebr,518400.0,0.036,2626186.145325941,720078.7170429871,1783365.574642405,1603060.157486757,1602108.951514776,1421340.1105066286,0.4980255514383316,0.0003912895917892456,0.03645727038383484,0.5348741114139557
16,adkavy,129600.0,0.009,5310388.711730036,143449.8067561532,532410.7337473051,512551.7855449341,432325.9785963335,407520.0552153714,0.13858844339847565,0.00010830163955688477,0.01189810037612915,0.15059484541416168
17,adnerst,302400.0,0.020999999999999998,2572501.6075600456,488831.74353696324,1162376.26885765,1028600.9349281114,1309659.0067627532,1203555.5108953388,0.29386264085769653,0.00023274123668670654,0.023276090621948242,0.3173714727163315
18,adpaifo,518400.0,0.036,2092387.5603164216,736257.4512857924,1959442.4364018482,1782579.3937429008,1720912.6534794772,1542279.1818440184,0.5110253095626831,0.00039984285831451416,0.04020160436630249,0.5516267567873001
19,aducrisi,518400.0,0.036,2806800.4225154105,794048.3734667756,2121482.1748642204,1948672.417671772,1857074.4759126808,1670487.3804471877,0.5147200971841812,0.0004081428050994873,0.04465685784816742,0.5597850978374481
20,afmorc,216000.0,0.014999999999999998,2465501.1358266277,286599.25027946616,867495.1198176426,811412.3521175855,725546.4829007133,663719.8856003606,0.20892256498336792,0.00016926229000091553,0.018610194325447083,0.22770202159881592
21,afpansh,475200.0,0.032999999999999995,2246641.8014320354,695417.8155869348,1964463.027882284,1828228.9934001921,1727775.6741855207,1575935.475396099,0.49311691522598267,0.0003773719072341919,0.04235914349555969,0.5358534306287766
22,afsfat,561600.0,0.039,4013532.202959028,925443.1309463244,2418662.666284099,2218328.0546588125,2451591.6948039453,2259213.8178493516,0.6098965555429459,0.0004464834928512573,0.05136701464653015,0.6617100536823273
23,afweka,561600.0,0.039,7107594.544303874,822078.8323779897,2181367.8774830103,1992275.995200685,1931125.8965533662,1732668.8100758223,0.5552838891744614,0.0004390031099319458,0.04539257287979126,0.6011154651641846
24,agcowktu,345600.0,0.023999999999999997,2496513.182079341,501984.45442401385,1369288.7354876413,1257595.9834092096,1192980.4070120773,1075081.3449341492,0.36481961607933044,0.0002727210521697998,0.028765007853507996,0.39385734498500824
25,agdrea,475200.0,0.032999999999999995,4333532.5000039255,738145.1315020436,2024661.1512725044,1879143.140085182,1765446.5248315332,1598918.181864893,0.485832154750824,0.0003803819417953491,0.043377965688705444,0.5295905023813248
26,aggjuo,475200.0,0.032999999999999995,2177821.3005416533,801694.5274907555,2029278.453204046,1858395.2989989845,2362392.356027439,2214723.792735479,0.471925288438797,0.0003826618194580078,0.043271780014038086,0.5155797302722931
27,agivle,518400.0,0.036,5936923.293314138,733142.7481257735,2162485.5721390718,2024272.0996325286,1864547.785489006,1708758.6699794536,0.5480125099420547,0.0004169195890426636,0.04688858985900879,0.5953180193901062
28,agjitfa,604800.0,0.042,2971941.2052512076,859306.6661925768,2255454.422280675,2049481.325557889,1962229.4665888168,1748660.6443937963,0.6011939495801926,0.00046813488006591797,0.04626460373401642,0.6479266881942749
29,agsuec,518400.0,0.036,1811007.0575631668,723148.8590989478,1989081.5521498069,1825385.4138514877,1750930.319211469,1584781.8761571066,0.4903378039598465,0.0004085451364517212,0.041618913412094116,0.5323652625083923
30,agvexpia,216000.0,0.014999999999999998,3333679.5669344105,435598.39017233613,964448.3671955396,854777.0049962564,1099640.7961257338,998671.8350757898,0.21618299186229706,0.00017464160919189453,0.01978658139705658,0.23614421486854553
31,aichash,129600.0,0.009,3701214.482151682,232167.14807367427,560560.9829225322,507306.97343057615,575450.9343136504,526452.0469108424,0.12087349593639374,0.00010445713996887207,0.011857792735099792,0.1328357458114624
32,aimidd,259200.0,0.018,2160110.278967459,343380.009283424,1076323.3296232754,1017951.5554729707,927444.5482394991,859464.5402217251,0.282071515917778,0.00020697712898254395,0.023590832948684692,0.30586932599544525
33,ainplin,432000.0,0.029999999999999995,4942870.041729553,605491.2073522981,1747324.345067252,1626730.820980142,1533116.8455366555,1401946.0682704938,0.43846404552459717,0.00034102797508239746,0.03756982088088989,0.47637489438056946
34,aitpygg,561600.0,0.039,9727044.552584704,749234.3466483568,2158420.075282415,1998599.5449494259,1812716.4658596532,1638771.499873163,0.5335685759782791,0.0004367828369140625,0.04525664448738098,0.5792620033025742
35,aivtytan,648000.0,0.045000000000000005,5008330.827247987,970862.3940664582,2581100.1251761843,2377454.8845712347,2415840.0212874804,2208389.8302779654,0.658406674861908,0.0005130171775817871,0.054862573742866516,0.7137822657823563
36,aiwalb,302400.0,0.020999999999999998,4128958.9740376794,440378.2951743791,1199482.7267281874,1104501.456750412,1078267.8570746025,979071.6583501832,0.2860540449619293,0.0002378225326538086,0.02546381950378418,0.3117556869983673
37,ajixdo,259200.0,0.018,2212291.4931752584,344117.0480288033,1048912.9113589937,983541.1353588465,864895.0381675132,790417.0442773632,0.27608489990234375,0.00020654499530792236,0.022673562169075012,0.2989650070667267
38,ajsips,604800.0,0.042,2519682.0786513896,925912.7320793725,2406003.325444156,2192128.1110217324,2174377.353527502,1956343.5266680364,0.615043506026268,0.0004746466875076294,0.05021880567073822,0.6657369583845139
39,ajsnedsi,432000.0,0.029999999999999995,4679479.500689085,647077.5492441946,1812555.891225665,1684435.9993923523,1641339.2581741991,1503709.1263240816,0.43329817056655884,0.0003442317247390747,0.03920714557170868,0.4728495478630066
40,ajthof,432000.0,0.029999999999999995,5241849.694030847,621148.5381542003,1696610.1064675455,1559998.538529812,1483398.2545702155,1339628.8636016806,0.44949865341186523,0.00033727288246154785,0.03567488491535187,0.48551081120967865
41,ajtreo,43200.0,0.0029999999999999996,14173203.458893547,97666.9695136037,195342.62594715875,169162.86987540586,180103.09693588497,151311.09609238344,0.04866001009941101,3.421306610107422e-05,0.00394691526889801,0.052641138434410095
42,akgicjud,777600.0,0.05400000000000001,3069611.0825799913,1109956.2761160198,2860405.6845604745,2587566.667309563,2535087.798646038,2261508.1557203964,0.730533629655838,0.0005960613489151001,0.058172181248664856,0.789301872253418
43,akvutvo,432000.0,0.029999999999999995,1638881.5213020782,653651.3317833842,1456433.283041911,1266498.051731319,1412857.5568930565,1239096.1076955793,0.40936604142189026,0.00032220780849456787,0.027399152517318726,0.43708740174770355
44,akyeerbi,302400.0,0.020999999999999998,3762023.000991953,510764.0488070151,1225564.4803935452,1090580.0921896442,1161432.898389898,1035495.6789239411,0.2816581726074219,0.00024043023586273193,0.025126934051513672,0.3070255368947983
45,aldhidd,302400.0,0.020999999999999998,5813.448855587768,356510.88887436315,1014485.8372488117,935132.5398525646,877810.9115837135,796681.8623880164,0.2935389429330826,0.00023083388805389404,0.02181205153465271,0.3155818283557892
46,alnihi,691200.0,0.04800000000000001,4876100.572993052,1020218.5458109702,2909309.7616720777,2717935.556166539,2524613.1754170903,2305763.3641917077,0.7183633744716644,0.0005535036325454712,0.062871053814888,0.7817879319190979
47,alsheth,604800.0,0.042,5796991.451561545,880166.8699178715,2516162.1248261346,2347759.680726234,2113966.998339236,1917470.6448294604,0.6358752250671387,0.00048425793647766113,0.05415916442871094,0.6905186474323273
48,amciuca,388800.0,0.026999999999999996,2362993.7926614806,590191.6801270022,1546864.5337609686,1412238.174861167,1378635.2815202384,1236680.6082134573,0.3989158868789673,0.0003041774034500122,0.03227889537811279,0.4314989596605301
49,amknywr,604800.0,0.042,3376230.256328721,919458.8000276331,2690464.9185167514,2517756.441517584,2947446.6045362265,2780010.24204256,0.6645764410495758,0.00051097571849823,0.05918337404727936,0.7242707908153534
50,amnurgji,259200.0,0.018,1765701.606831079,416565.72964403126,1110296.8657870383,1021322.7989573567,1052625.6631560982,964113.1616554915,0.26558056473731995,0.0002062469720840454,0.02032722532749176,0.28611403703689575
51,amvefarl,302400.0,0.020999999999999998,2328423.4782672096,397420.5403742179,1242275.7496477882,1173056.0753164303,1041301.1573374714,959865.3347683374,0.3201567828655243,0.00024278461933135986,0.023515209555625916,0.34391477704048157
52,amwibs,518400.0,0.036,1494835.2005428846,697662.888605806,2113353.794211875,1981657.5280809307,1798362.3375764857,1651815.0262525901,0.5063799023628235,0.00041240453720092773,0.03941817581653595,0.5462104827165604
53,ancedvab,172800.0,0.011999999999999999,5046912.239069867,199372.87270910744,698149.1317566388,666827.9109620177,558251.9600205689,520342.2293506151,0.16605782508850098,0.00013709068298339844,0.013431370258331299,0.17962628602981567
54,ancorjo,432000.0,0.029999999999999995,9970566.895062033,859104.3312018767,1904014.1964884617,1692360.7998997523,1814154.3538011375,1592243.4177916672,0.43054400384426117,0.0003461092710494995,0.03409656882286072,0.4649866819381714
55,ancyclsu,518400.0,0.036,6390903.279111141,894151.3045793053,2227674.1699149967,2036184.05814182,1929306.5028911214,1707391.56543652,0.5586043149232864,0.00041453540325164795,0.04096154868602753,0.5999803990125656
56,andyol,604800.0,0.042,1543268.0890665827,901585.5845172516,2285757.349378061,2062835.6025730786,2073300.2015887003,1852161.6267362407,0.5793005228042603,0.000464022159576416,0.04071664810180664,0.6204811930656433
57,aniajcr,820800.0,0.057000000000000016,1412518.956216741,1176458.1717990781,3179222.836082496,2915160.0803874396,2882641.1969427625,2615210.3662868585,0.8189273029565811,0.0006459057331085205,0.05811147391796112,0.8776846826076508
58,anidgib,734400.0,0.05100000000000001,4301188.956072506,1064455.1738195475,3099831.639079078,2907141.932005031,3009244.668773151,2796734.504909116,0.7911593317985535,0.0005852580070495605,0.05790156126022339,0.8496461510658264
59,ankped,259200.0,0.018,2323115.016931274,345631.3043798242,1081047.0273419886,1023580.2078567996,868546.9437948795,796051.8628255219,0.24806520342826843,0.0002057105302810669,0.02045033872127533,0.26872125267982483
60,ansyut,388800.0,0.026999999999999996,4722844.6095069125,506766.810461603,1410631.0270662152,1304947.6277262778,1370847.164142934,1268072.47290767,0.36455971002578735,0.0002991408109664917,0.026341348886489868,0.3912001997232437
61,anucks,172800.0,0.011999999999999999,1341187.5084430776,230545.23009196596,667039.1917620656,618477.2646489431,567007.6644498934,515028.41365487257,0.17226748168468475,0.00013497471809387207,0.012308672070503235,0.18471112847328186
62,anupwr,172800.0,0.011999999999999999,2712232.5351781035,250091.2431697279,731045.0774873367,686218.8290566234,686488.8525738968,637369.8365157323,0.16600316762924194,0.0001373291015625,0.013635069131851196,0.17977556586265564
63,apigcyd,648000.0,0.045000000000000005,2182928.164534055,917814.4021752339,2461487.976459153,2241447.905937556,2144540.8572941087,1922931.6135192208,0.6314251720905304,0.0005000680685043335,0.044583290815353394,0.6765085309743881
64,appsri,172800.0,0.011999999999999999,2629797.437345252,262528.5819013944,736141.264670336,687487.1800967663,669939.5516461433,615948.4121611114,0.17531929910182953,0.00013881921768188477,0.013651952147483826,0.18911007046699524
65,apsskyul,302400.0,0.020999999999999998,2088496.6668730292,412665.3933179327,1191795.9945736844,1106412.8503619717,1009174.8372121773,916585.4862902389,0.3048743009567261,0.0002359449863433838,0.022118255496025085,0.32722850143909454
66,aquawaw,648000.0,0.045000000000000005,1435270.7672002674,902217.2990496196,2430503.9929436287,2220460.5601881295,2169885.93337655,1964226.6112073774,0.6457518339157104,0.0004949718713760376,0.044168129563331604,0.6904149353504181
67,arcksy,734400.0,0.05100000000000001,4736082.444213149,987177.6459135182,2835025.2301431457,2625432.0501228455,2459701.441734269,2242398.7549253353,0.772095799446106,0.0005766451358795166,0.052409276366233826,0.8250817209482193
68,arcuim,345600.0,0.023999999999999997,4839517.032484936,463387.9244354315,1250564.3303717643,1152670.842975709,1132674.6578227538,1029498.5978306355,0.30823206901550293,0.000268399715423584,0.0232105553150177,0.3317110240459442
69,arcurbig,388800.0,0.026999999999999996,2694115.4040549123,561962.8697390608,1583153.1975111389,1466484.6292796268,1396983.2295886902,1274112.0126953917,0.3773987889289856,0.00031048059463500977,0.029231786727905273,0.4069410562515259
70,arhilby,604800.0,0.042,5734986.547426607,738879.9964688066,2468670.808908818,2345500.7884227927,2001331.679585997,1854600.886788057,0.6402494609355927,0.0004824399948120117,0.046602487564086914,0.6873343884944916
71,arlwras,604800.0,0.042,2518373.8349240865,989149.0693256488,2438977.6173830777,2201578.3208376425,2294742.8304140754,2060157.849147427,0.6036589294672012,0.000470772385597229,0.04397670924663544,0.6481064110994339
72,arphaud,345600.0,0.023999999999999997,4635074.23895756,447992.00256429147,1390517.2451397714,1305501.4055805865,1142217.9847147022,1046137.7763743246,0.35592760145664215,0.00027324259281158447,0.02588777244091034,0.3820886164903641
73,artgagvu,518400.0,0.036,2109941.4189948495,720232.0705533399,2062032.270382592,1908937.208694633,1800918.533087938,1640899.443695341,0.5580064654350281,0.0004042088985443115,0.03806772828102112,0.5964784026145935
74,ascley,734400.0,0.05100000000000001,2679351.443967256,1042214.2390407076,2790384.3339608787,2546671.467602825,2555040.9827226484,2317717.21543108,0.7233887314796448,0.0005666762590408325,0.05044935643672943,0.774404764175415
75,ashgati,216000.0,0.014999999999999998,3326154.0534195863,286633.76795669843,901480.5585153167,853656.1539702972,740999.3146029897,682062.8508864203,0.22674472630023956,0.0001730024814605713,0.017028525471687317,0.24394625425338745
76,asigno,734400.0,0.05100000000000001,5459934.651420562,1044060.9981915753,2983933.997764718,2778129.3692811597,2690291.447566816,2469767.166830648,0.7999154478311539,0.0005783438682556152,0.05538468062877655,0.855878472328186
77,askmecle,475200.0,0.032999999999999995,5101240.0154724885,901968.6914368784,2084439.953183685,1874116.1606438118,2538687.173906594,2366167.5754686003,0.48019981384277344,0.0003803372383117676,0.037452131509780884,0.5180322825908661
78,aslagni,475200.0,0.032999999999999995,4928077.622693458,700399.4850211419,1936616.7041714555,1791905.6087054166,1921258.7724368512,1776955.4891072237,0.4573548883199692,0.0003734678030014038,0.035812705755233765,0.49354106187820435
79,aswift,388800.0,0.026999999999999996,1992108.7699745041,592607.3637849088,1547472.9778030824,1413781.1145947454,1412644.4064817652,1274977.1280119051,0.39671675860881805,0.0003038644790649414,0.028085365891456604,0.4251059889793396
80,atcilav,648000.0,0.045000000000000005,2328636.244306361,1003041.2427715345,2533786.385729406,2288584.5489994604,2334442.145125329,2095361.3359083924,0.634136825799942,0.0005005896091461182,0.045553356409072876,0.680190771818161
81,atfrav,129600.0,0.009,2403034.5856583947,181507.31284297127,543109.6255477834,511714.5914609037,448370.7074322103,409799.6513439192,0.13737186789512634,0.0001035928726196289,0.010236352682113647,0.14771181344985962
82,atfrim,172800.0,0.011999999999999999,4902375.26000136,300744.2930923068,745040.5329099048,679463.249349964,649269.7624770843,574275.1041425654,0.18491122126579285,0.00013810396194458008,0.013652026653289795,0.19870135188102722
83,atidfi,432000.0,0.029999999999999995,2292533.1510148332,615173.3747939916,1821781.2629489098,1707687.7988321283,1588007.5354859158,1458763.0583386647,0.458658903837204,0.0003421604633331299,0.03404402732849121,0.4930450916290283
84,atnokvo,86400.0,0.005999999999999999,7455453.666222331,153286.38049530677,374687.17330630735,341736.2608513854,323318.1691847196,284414.26989930857,0.08684307336807251,6.945431232452393e-05,0.0068309009075164795,0.09374342858791351
85,atzumbon,561600.0,0.039,21955.217206345907,742681.552043559,1851380.2721223703,1642102.204847617,1676389.230883435,1481282.6315530692,0.5234915018081665,0.00042113661766052246,0.03277873992919922,0.5566913783550262
86,aucjun,129600.0,0.009,4722066.422561273,66347.43951098336,187597.9789902267,175243.1857775084,154379.0802807844,139180.78339283366,0.0682726502418518,9.050965309143066e-05,0.003827691078186035,0.07219085097312927
87,auctjir,302400.0,0.020999999999999998,6941443.593533913,436802.3957666492,1206089.9245897734,1113331.1765050301,1506369.311290022,1435389.2209475867,0.3046323210000992,0.00023832917213439941,0.022140592336654663,0.32701124250888824
88,aurjyen,172800.0,0.011999999999999999,4591714.97737983,323582.8131223617,670431.5629897333,575836.8457390928,679777.2645135935,593582.5431334267,0.16812631487846375,0.00013339519500732422,0.011264786124229431,0.1795244961977005
89,avdyab,129600.0,0.009,4644822.387623569,182207.4964059319,487528.15217486664,442448.8435119604,442490.97965390095,399291.0035121799,0.11835062503814697,0.0001007765531539917,0.008757665753364563,0.12720906734466553
90,avglybic,129600.0,0.009,4816451.354705057,171938.5760627805,540191.5816453863,511319.5401869344,441388.06222839083,405931.2878595147,0.1415480524301529,0.00010453164577484131,0.010188490152359009,0.15184107422828674
91,aviltly,345600.0,0.023999999999999997,1312536.8096358976,504129.62129692023,1223307.218719279,1093662.4343923763,1106840.922693797,978612.0822370879,0.31821635365486145,0.00026276707649230957,0.021631747484207153,0.3401108682155609
92,avpavi,561600.0,0.039,2277219.8745386023,823255.5189400356,2015879.6553982894,1804005.4310489504,1827942.7256970077,1617951.1351121443,0.5599546581506729,0.00042535364627838135,0.03569097816944122,0.5960709899663925
93,awnbeb,475200.0,0.032999999999999995,4606755.176100735,699077.848862204,2005799.5972041572,1876850.7523178097,1921842.5622227225,1784260.563012404,0.4956740438938141,0.000379025936126709,0.037389323115348816,0.5334423929452896
94,awrenba,648000.0,0.045000000000000005,4641081.2623747075,872061.3022972174,2556403.568157549,2373274.7001256137,2195681.141537418,2002872.7930615323,0.6172513067722321,0.0005045980215072632,0.047374874353408813,0.6651307791471481
95,awribig,302400.0,0.020999999999999998,4964169.14337838,422450.14500053145,1212961.6252353883,1126430.1817506456,1125699.5113329832,1038878.1221064817,0.2872774451971054,0.00023595988750457764,0.022481873631477356,0.30999527871608734
96,aydwaho,561600.0,0.039,1923051.2325195046,716291.9773362179,2302263.2580855363,2180738.467705615,1885729.749633152,1741168.881052739,0.5680955499410629,0.0004476308822631836,0.043564483523368835,0.612107664346695
97,ayfsdu,691200.0,0.04800000000000001,1723541.604311452,945045.6379514734,2621577.538827915,2406546.3859049734,2315958.1231082943,2099730.9140198412,0.648180291056633,0.00053367018699646,0.04792432487010956,0.696638286113739
98,aygpha,388800.0,0.026999999999999996,5034703.476499771,569546.1844843713,1481519.8552606741,1345271.3635401204,1331110.364216765,1196078.0029031374,0.37611737847328186,0.0003005862236022949,0.026547864079475403,0.40296582877635956
99,aypudby,388800.0,0.026999999999999996,2594300.769883341,680476.7106657098,1629511.8769954846,1464422.2552012985,1717631.9280845674,1567812.5465877787,0.3798159509897232,0.00030399858951568604,0.029126062989234924,0.4092460125684738
100,ayquasto,388800.0,0.026999999999999996,5458428.560509655,518554.6240958931,1545967.949288811,1441355.4726479603,1285547.9544376926,1169693.9688661178,0.44049105048179626,0.00030726194381713867,0.028709813952445984,0.4695081263780594
101,ayquexar,648000.0,0.045000000000000005,2294149.972704513,913998.4377826445,2510519.1655425075,2303901.00878637,2561480.222287837,2372528.623576187,0.6183501183986664,0.0005066394805908203,0.045988887548446655,0.6648456454277039
102,ayshekki,172800.0,0.011999999999999999,2998327.082787225,201259.28035499714,709181.3475160988,679612.5858057372,638871.7606785006,605098.8230704274,0.1711379736661911,0.0001398622989654541,0.013616472482681274,0.18489430844783783
103,ayshowg,172800.0,0.011999999999999999,3109.611470735222,115311.95584229485,366068.83672267,346644.654843324,299998.9810576518,276226.7886154691,0.10432717204093933,0.0001240372657775879,0.0072142332792282104,0.11166544258594513
104,aysmsla,691200.0,0.04800000000000001,2049320.167779668,1068193.6790243047,2652968.454869383,2381345.8660750133,2785957.9938515294,2550581.6295252987,0.7020252645015717,0.0005379915237426758,0.04749429225921631,0.7500575482845306
105,eacderph,172800.0,0.011999999999999999,4819157.163475951,295813.50669915456,746697.8084558094,684729.1874579476,680033.234291716,612079.3504639288,0.15992654860019684,0.0001378953456878662,0.013610631227493286,0.173675075173378
106,eadectio,216000.0,0.014999999999999998,6667744.824603049,443198.4923179125,967622.3282692936,852157.413623862,1109819.3989440117,1010609.0912087653,0.2010253518819809,0.0001749098300933838,0.017032742500305176,0.21823300421237946
107,eagbaci,86400.0,0.005999999999999999,9194188.052263077,188683.89097447877,391567.5727955969,342402.98325543094,1018402.3592903544,1000594.2158351555,0.07796956598758698,6.906688213348389e-05,0.006782695651054382,0.08482132852077484
108,eapceou,777600.0,0.05400000000000001,4557018.338104408,1172917.501207242,3285942.2658497714,3065767.98209059,2794293.0066331117,2533240.9470105073,0.9236526340246201,0.0006247907876968384,0.061341091990470886,0.9856185168027878
109,easnsvu,172800.0,0.011999999999999999,3769770.4392214282,320612.3266144893,759925.7569166502,688275.0453319855,711035.7123140553,634310.733441753,0.16642756760120392,0.00014005601406097412,0.013656184077262878,0.18022380769252777
110,eavcaifo,561600.0,0.039,5111347.288430184,844834.9378789868,2365229.772358708,2191462.7001803285,2218936.4099254846,2041652.5364426682,0.5467538833618164,0.0004490464925765991,0.0437796413898468,0.5909825712442398
111,eavflid,475200.0,0.032999999999999995,4920382.992719977,688284.5492889616,1918198.3458421403,1774660.2668785364,1671384.3617056916,1518582.3127523498,0.4743547737598419,0.0003741532564163208,0.035509198904037476,0.5102381259202957
112,ebcicy,820800.0,0.057000000000000016,4914201.202247265,1162644.5391391367,2894528.4082550043,2582033.695494532,2652996.622529111,2360121.8897724384,0.7438332438468933,0.0006219446659088135,0.05087651312351227,0.7953317016363144
113,ebdafya,475200.0,0.032999999999999995,3109312.018888905,700437.5249102293,2015449.4949834086,1886102.8950481697,2047323.5443831373,1915462.0998529033,0.5115659534931183,0.0003771930932998657,0.03741632401943207,0.5493594706058502
114,ebenfrag,302400.0,0.020999999999999998,5186376.910279427,547497.4004005018,1322212.1229495537,1201090.6725557467,1151065.9265860636,1010944.3829950335,0.30466410517692566,0.00023958086967468262,0.02377408742904663,0.328677773475647
115,ebrulra,172800.0,0.011999999999999999,2591956.5021986654,215622.8690505786,714891.745415769,681315.7132862228,591353.3271853861,550324.0482423579,0.15617719292640686,0.00013649463653564453,0.013608306646347046,0.16992199420928955
116,eccest,691200.0,0.04800000000000001,10878887.903925007,887539.5247571982,2411216.4566796613,2211097.4249781347,2203961.746868717,1999906.0982940383,0.6103068292140961,0.0005272477865219116,0.04431827366352081,0.6551523506641388
117,ecdiwovu,475200.0,0.032999999999999995,4929654.900007555,763784.4858569544,2036371.905083036,1878505.8238165271,1789439.5598494257,1614042.0786575973,0.5077438652515411,0.00037986040115356445,0.03760957717895508,0.5457333028316498
118,ecfesy,777600.0,0.05400000000000001,2643662.834071589,1170341.2385465065,3106272.3897368787,2834308.3831324275,2817554.7492695423,2549543.456483702,0.8038597851991653,0.0006227493286132812,0.0571955144405365,0.8616780489683151
119,ecforj,259200.0,0.018,1996954.490439901,376271.53083402006,1047025.6286866729,966657.0815427995,880926.97193599,791957.1567550956,0.23980729281902313,0.00020490586757659912,0.01921100914478302,0.25922320783138275
120,ecgojtyt,388800.0,0.026999999999999996,4994226.848159883,636721.9256432815,1582518.3998268119,1442911.739734434,1432317.831434667,1280790.8483799489,0.3752150982618332,0.00030831992626190186,0.028743714094161987,0.4042671322822571
