,folder,# records,eps (per record),avg func L2,avg priv err,avg priv time,avg smooth err,avg smooth time,avg total runtime
0,00000,987,4.0,4227.416645637966,3175.7211750604574,0.002935596693612884,3709.9255029111555,0.00044715661166769874,0.003382753305280583
1,01000,1000,4.0,4196.633984385568,3141.5828208595367,0.002946181997656822,3691.6536765806954,0.0004480823278427124,0.0033942643254995346
2,02000,998,4.0,4167.646958183916,3131.8791165503512,0.0029453197587468102,3660.136737345557,0.00044716484023478323,0.0033924845989815934
3,03000,995,4.0,4196.500586945298,3153.5896414360677,0.0029467758521362765,3697.306830328174,0.00044742449743663846,0.003394200349572915
4,04000,1000,4.0,4040.150522137716,3075.118031324,0.002944830968976021,3659.4084789942694,0.000447128027677536,0.003391958996653557
5,05000,999,4.0,4167.3242761124175,3121.0289129273397,0.002944950704221372,3777.010882494826,0.00044687639724265584,0.003391827101464028
6,06000,1000,4.0,4020.2923656078447,3047.992285421681,0.0029533616304397584,3638.448955230191,0.000448628768324852,0.0034019903987646104
7,07000,997,4.0,3975.5618367716893,3106.331257215516,0.0029675905987874437,3742.871632233649,0.0004509070901239409,0.0034184976889113845
8,08000,1000,4.0,3926.9119311479017,2980.74450609594,0.0029462321996688843,3538.624316771981,0.00044764022529125214,0.0033938724249601366
9,09000,997,4.0,3940.3405240367993,3071.155955377105,0.0029426896823205825,3669.805408270652,0.000447047121426765,0.0033897368037473473
10,10000,1000,4.0,4101.5942634532375,3109.3825221382376,0.0029434834718704223,3710.3739675521483,0.0004464246481657028,0.003389908120036125
11,11000,995,4.0,4117.278248867939,3102.2397808799124,0.002945144272329819,3832.1825161212564,0.0004468225055004484,0.0033919667778302674
12,12000,1000,4.0,4126.671912249225,3070.838866773087,0.0029415355771780015,3774.4362559196657,0.0004461635798215866,0.003387699156999588
13,13000,995,4.0,4041.1134328228723,3102.032514230387,0.002943605379243592,3730.299362293797,0.0004465427380710391,0.003390148117314631
14,14000,1000,4.0,4002.579682470809,3010.2236230001386,0.002941903457045555,3590.147571557346,0.00044629925489425657,0.0033882027119398117
15,15000,999,4.0,3969.806837828258,3083.14058071272,0.002942423428501095,3727.072523800157,0.0004464232915633911,0.003388846720064486
16,16000,1000,4.0,4196.156649645974,3089.539270449303,0.0029418943524360656,3790.768265364784,0.00044597561657428743,0.003387869969010353
17,17000,1000,4.0,4073.06418749401,3091.9576002613317,0.0029422916918992997,3771.1321988193768,0.00044663076102733614,0.003388922452926636
18,18000,999,4.0,3931.4114980939926,3013.9219021076847,0.002943722827656491,3598.2639921434297,0.0004469532299566794,0.0033906760576131703
19,19000,1000,4.0,3858.363231958467,3016.066851491172,0.002941991254687309,3661.7062160079827,0.00044632603228092195,0.003388317286968231
20,20000,1000,4.0,3778.7389649768024,2998.052004231549,0.0029461700171232222,3629.573164296866,0.0004476122111082077,0.00339378222823143
21,21000,838,4.0,3917.0744856160377,3056.762201561721,0.0029441510685019393,3824.454133850021,0.00044755658983899757,0.0033917076583409368
