,folder,# records,eps (per record),avg func L2,avg priv err,avg priv time,avg smooth err,avg smooth time,avg total runtime
0,00000,987,0.25,4227.416645637966,26160.227461430004,0.0029607916886804073,10244.521159643973,0.0004426686597087825,0.00340346034838919
1,01000,1000,0.25,4196.633984385568,26135.261279418264,0.0029557470977306364,10220.260208667256,0.0004422998875379562,0.0033980469852685925
2,02000,998,0.25,4167.646958183916,26169.85582111517,0.002957256858000058,10238.914945192986,0.000441693993871341,0.003398950851871399
3,03000,995,0.25,4196.500586945298,26145.25985069224,0.002954103090056223,10227.967820171325,0.00044247223504224615,0.003396575325098469
4,04000,1000,0.25,4040.150522137716,26147.0617920166,0.0029555126279592514,10230.163776799605,0.00044230958819389344,0.003397822216153145
5,05000,999,0.25,4167.3242761124175,26174.256256733646,0.0029598981649190696,10297.145164148007,0.00044327717762928943,0.003403175342548359
6,06000,1000,0.25,4020.2923656078447,26133.329820196173,0.002959531232714653,10212.084991900992,0.00044329138100147246,0.0034028226137161255
7,07000,997,0.25,3975.5618367716893,26131.466821278897,0.002956502894341288,10252.125611189342,0.0004424016358500857,0.0033989045301913733
8,08000,1000,0.25,3926.9119311479017,26129.796061528887,0.0029593408405780793,10192.241807226525,0.0004431098997592926,0.0034024507403373717
9,09000,997,0.25,3940.3405240367993,26144.076339315816,0.002957549921368644,10226.025877290947,0.0004423377865415399,0.003399887707910184
10,10000,1000,0.25,4101.5942634532375,26153.247890121736,0.002958466589450836,10242.393453187171,0.0004418519586324692,0.003400318548083305
11,11000,995,0.25,4117.278248867939,26140.731845796567,0.002956791708816835,10327.30730479623,0.0004418076432530005,0.0033985993520698355
12,12000,1000,0.25,4126.671912249225,26141.43151074201,0.0029586960971355438,10290.27101590177,0.0004432679861783981,0.003401964083313942
13,13000,995,0.25,4041.1134328228723,26135.97429544197,0.0029567789642056027,10258.699048392802,0.000442639232879907,0.0033994181970855098
14,14000,1000,0.25,4002.579682470809,26116.29039753173,0.0029585037678480147,10191.934112470595,0.0004428688138723373,0.003401372581720352
15,15000,999,0.25,3969.806837828258,26166.450074643548,0.00295739823036843,10284.615364643316,0.00044290159080360265,0.0034002998211720326
16,16000,1000,0.25,4196.156649645974,26164.930956118093,0.0029580491632223128,10304.414079545919,0.00044334058463573454,0.0034013897478580475
17,17000,1000,0.25,4073.06418749401,26138.63809235767,0.0029593842029571535,10279.017176899888,0.0004439540505409241,0.0034033382534980777
18,18000,999,0.25,3931.4114980939926,26145.64616913258,0.0029597602956168527,10214.733711059811,0.0004426909608764572,0.00340245125649331
19,19000,1000,0.25,3858.363231958467,26151.62598603252,0.0029618542939424514,10255.624304438194,0.0004435786604881287,0.00340543295443058
20,20000,1000,0.25,3778.7389649768024,26120.289958824655,0.0029562961757183077,10245.803572279205,0.0004420686811208725,0.0033983648568391804
21,21000,838,0.25,3917.0744856160377,26167.507406441702,0.0029549580556396085,10355.305762141254,0.0004418964424395049,0.0033968544980791135
