,name,# batches,total eps,func L2,approx err,priv err,priv loss,smooth err,smooth loss,approx time,priv time,smooth time,total runtime,baseline priv err,baseline runtime
0,ansyut,25,0.25,13511939.241647182,4303151.282100988,4444469.596344926,1041629.9650299043,7496964.097280992,6054499.081869888,2.4167308807373047,0.0011463430192735463,0.15257891019185385,2.5704561339484324,446562911406.26263,0.4411269028981527
1,amvefarl,17,0.17,5977361.18760271,4635258.864933149,4731572.198183574,839139.3748933559,9082180.011760233,7676579.723896585,1.9099915027618408,0.0008545054329766168,0.14437594678666857,2.0552219549814863,355221318527.9701,0.30191829469468856
2,anupwr,15,0.15,7325349.273372294,4144080.5057171853,4253129.099851615,866178.1202571389,8192903.86966299,6978158.283972293,1.6996231079101562,0.0008193254470825195,0.1640288962258233,1.8644713295830622,337982163097.1152,0.2670455773671468
3,inshfola,6,0.06,2884669.803949133,911262.6296737521,935688.6006798978,181274.56053079612,1665132.3806498956,1380391.2013501886,0.4099314212799072,0.00027333365546332463,0.03134259912702772,0.4415473540623983,113843115290.38812,0.09972682264116076
4,ispawwye,24,0.24,5953356.39657811,4588213.846480602,4729061.071134147,1067053.6430366258,8077925.143988701,6588008.373584901,2.2583141326904297,0.0011315478218926322,0.15988764497968885,2.419333325492011,437955323873.33325,0.429922726419237
5,elaflevy,26,0.26,5588528.429611502,4291166.964634762,4463741.426469289,1142365.592647169,6832530.343836515,5305830.813244262,2.5914266109466553,0.0012260807885064017,0.17129557662540013,2.763948268360562,466028945280.29315,0.46843646632300473
6,atcilav,23,0.23,10619335.889371125,4862743.240418452,4987345.584700357,1040912.8354006,8941000.649882793,7349638.422218805,2.1536784172058105,0.0010946459240383571,0.1518324481116401,2.306605511241489,428997125119.98486,0.40648661719428164
7,aiwalb,22,0.22,8739158.050010638,4371855.278340077,4502197.679388375,1026265.6264932393,7801786.099117401,6414777.928845677,2.0609512329101562,0.0010553863313462997,0.14953201346927217,2.211538632710775,405023701092.5167,0.3777779473198785
8,utjanre,27,0.27,6212910.308021653,4610058.342774753,4765012.005361655,1063053.5472725993,7444805.145883181,5826605.202973293,2.349551200866699,0.0012582805421617296,0.1620863808525933,2.5128958622614546,463183866406.41736,0.4855896631876627
9,iodlac,24,0.24,3058825.9566307464,4004991.471296517,4139318.8791960375,965102.2576120679,6178585.302500504,4690367.788306509,2.118863582611084,0.0011314286126030816,0.14571766058603922,2.2657126718097262,421176395350.4701,0.42603585455152726
10,amwibs,23,0.23,7289122.326100997,4847681.343482482,4972817.559695354,1038356.6820246376,8106475.435216475,6459066.0139613645,2.1659998893737793,0.0010955995983547631,0.15168684058719212,2.318782329559326,429902483927.20154,0.4108077552583483
11,imhacy,8,0.08,10421815.15650319,1617319.4080094423,1649108.5019415878,303850.0679391729,2480886.433142106,1851285.6629731758,0.634695291519165,0.0003744761149088542,0.048013157314724386,0.6830829249487982,195940439910.50906,0.14172373877631292
12,onyacju,25,0.25,6893142.335015287,4344600.123523685,4495203.484049332,1069584.890294494,7090935.670245164,5569687.755038666,2.2538907527923584,0.001175562540690104,0.16193770037757022,2.4170040157106185,442429460436.9279,0.4458920823203192
13,uvburki,14,0.14,6843847.586695036,3164331.9266446,3259165.002863066,686446.8807841454,4769078.695713404,3500832.2546111653,1.5802624225616455,0.0007202095455593534,0.12160617775387234,1.7025888098610773,279703681223.04865,0.24592573112911648
14,eotcue,1,0.01,3117673.768488584,122256.98120302247,124862.02909310677,25325.621389715227,127609.16013631664,36563.26139919295,0.007947444915771484,4.506111145019531e-05,0.00405838754442003,0.01205089357164171,42157312834.89514,0.0010593202379014757
15,omdrid,8,0.08,5999770.763573722,1250004.385369793,1312626.5105034942,380305.0369232554,2198204.10615956,1784320.9654568764,0.7961728572845459,0.00038549635145399306,0.05733982721964519,0.8538981808556451,137915145503.77814,0.14427989059024388
