,folder,# records,eps (per record),avg func L2,avg approx err,avg priv err,avg priv loss,avg approx time,avg priv time,avg total runtime,avg baseline priv err,avg baseline runtime
0,00000,987,1.0,4227.416645637966,283.7143992130069,881.1849593056268,827.3567359448272,0.21391372695157593,0.0020186624239254113,0.21593238937550133,388955.44781972177,0.008847812590104675
1,01000,1000,1.0,4196.633984385568,285.00232582990134,881.6647773587433,827.6544750413811,0.21358946323394776,0.0020133302609125804,0.21560279349486033,388889.53128411976,0.008825056831041973
2,02000,998,1.0,4167.646958183916,281.1160729917824,879.9595441531058,827.6552742254921,0.21369000928913184,0.0020136014174523143,0.21570361070658417,388991.7786757686,0.008855753753477785
3,03000,995,1.0,4196.500586945298,283.3933495347751,881.3592689629633,827.7025196226205,0.21368667779855394,0.0020132785399887975,0.21569995633854275,388884.3455544805,0.008826452217442845
4,04000,1000,1.0,4040.150522137716,272.3056241415501,878.5492354319748,827.9545520609624,0.21376528811454773,0.0020133713351355685,0.2157786594496833,388860.5740913702,0.008849546710650124
5,05000,999,1.0,4167.3242761124175,282.95752144418,884.1609591953136,827.375843802736,0.2137121636349637,0.0020129478040068743,0.21572511143897058,388826.5805836853,0.008851391669044159
6,06000,1000,1.0,4020.2923656078447,276.73620743799023,879.5082999889808,827.7201354017164,0.21371559453010558,0.0020136483907699566,0.21572924292087553,388910.1477931968,0.0088371678325865
7,07000,997,1.0,3975.5618367716893,277.3918841234108,880.272469752279,827.9852117902818,0.21369522409429523,0.002012605227635452,0.21570782932193067,388672.3911715291,0.008837840634950436
8,08000,1000,1.0,3926.9119311479017,270.86724393250677,879.3691906518209,827.7356480268462,0.21373657536506652,0.0020135889715618568,0.21575016433662839,388952.72109927767,0.008832152869966296
9,09000,997,1.0,3940.3405240367993,274.90399796664036,879.6600801421977,827.710324131925,0.2137445403914992,0.0020131528889018244,0.21575769328040104,388912.8827864983,0.008832443442005086
10,10000,1000,1.0,4101.5942634532375,279.5800815875479,879.8936850927703,827.9160919382751,0.21367483305931093,0.0020140064557393365,0.21568883951505027,388539.1566278485,0.008854144348038573
11,11000,995,1.0,4117.278248867939,279.2346561874926,881.4992650249216,827.5448536801572,0.2136345947208117,0.002013169594279616,0.2156477643150913,388842.5000257302,0.008841362883430962
12,12000,1000,1.0,4126.671912249225,279.44207709587334,881.2189302082459,827.6718160387567,0.21376754784584046,0.002013841814464993,0.21578138966030544,388672.38350470155,0.008839632325702241
13,13000,995,1.0,4041.1134328228723,279.62783952805995,881.7827777383711,827.9234355237421,0.21372201167159344,0.002013829964489197,0.21573584163608264,388930.0139262443,0.00883734649549576
14,14000,1000,1.0,4002.579682470809,272.80738462135565,879.0889475270669,827.7085661613312,0.21370279741287232,0.002013674312167698,0.21571647172504002,388818.3513415973,0.008832752254274167
15,15000,999,1.0,3969.806837828258,279.19475533511627,883.592704776821,827.7964941657248,0.21361352349664117,0.002013410971408926,0.2156269344680501,388724.44091827865,0.008829789741884399
16,16000,1000,1.0,4196.156649645974,284.8897400006002,883.866028840401,827.5730621263704,0.21367452931404113,0.002013338340653313,0.21568786765469444,388989.74457617255,0.00883164310455322
17,17000,1000,1.0,4073.06418749401,279.903126334639,882.1700363385877,827.8971026530494,0.21364980387687682,0.0020138189395268757,0.2156636228164037,388867.6008330611,0.008834206806288821
18,18000,999,1.0,3931.4114980939926,273.89005687333616,881.0544730437532,828.1260532226987,0.21364194900543243,0.0020151554762541466,0.21565710448168657,388927.38009769603,0.008835842195467793
19,19000,1000,1.0,3858.363231958467,268.7447645668436,879.6248955185613,827.7008020576261,0.21371901369094848,0.002015170110596549,0.21573418380154502,388819.42828885006,0.008831132875548478
20,20000,1000,1.0,3778.7389649768024,273.02147133686225,883.4431036226201,827.6038572055461,0.21368789935112,0.002015098863177828,0.21570299821429784,388769.82534928253,0.008836491703987127
21,21000,838,1.0,3917.0744856160377,283.32068759313745,888.6672605021403,827.8052275246241,0.2136676274506744,0.002014685486394194,0.2156823129370686,388838.351006056,0.00882680774588574
