,name,func L2,priv err,priv time,smooth err,smooth time,total runtime
0,abboip,2986602.529408208,604811619.7353568,0.026959851384162903,291285927.3774058,0.00635218620300293,0.03331203758716583
1,abcoij,11387.366197969848,106093922.13448368,0.004892230033874512,48117967.300093666,0.001155555248260498,0.00604778528213501
2,abdremlu,4807311.561217478,277027963.491436,0.01242421567440033,143014372.86713275,0.002942025661468506,0.015366241335868835
3,abgibo,2086456.056381533,631684598.5406307,0.028481021523475647,322104066.90400827,0.006776869297027588,0.035257890820503235
4,abjoolaw,5028367.516228743,299083023.290475,0.013511508703231812,150682477.0889577,0.0032077133655548096,0.01671922206878662
5,abmuyawm,5012566.654619189,715788226.4529976,0.03231646120548248,349155963.6298524,0.007692456245422363,0.040008917450904846
6,abniar,11660541.56470244,880353197.7476377,0.04001037776470184,438452213.23577154,0.00947543978691101,0.049485817551612854
7,abnovkak,4948372.404775512,352258218.45108104,0.015830636024475098,177787659.4378035,0.0037362873554229736,0.01956692337989807
8,abtyff,4776112.598516988,417019220.5311192,0.018970593810081482,218723938.90249866,0.004489213228225708,0.02345980703830719
9,abwecnij,2950593.8639600165,516928961.61967945,0.023358583450317383,242705656.29092574,0.0055664777755737305,0.028925061225891113
10,acdiyito,1875663.27990679,93985694.18168768,0.004238247871398926,51884662.92547111,0.0010117143392562866,0.005249962210655212
11,acduou,2034714.504787471,759575504.1202166,0.03409567475318909,384937600.13864833,0.00809815526008606,0.042193830013275146
12,acgerl,2303008.7247667033,323501970.9740831,0.014703035354614258,172468676.61532488,0.003467082977294922,0.01817011833190918
13,acitva,5670973.867873089,147666389.61922562,0.006571277976036072,79237841.39018172,0.0015483498573303223,0.008119627833366394
14,acpegho,4896341.288133755,594147832.0755857,0.02712768316268921,307652198.2352941,0.006460323929786682,0.03358800709247589
15,acvebr,2626186.1453251145,633796232.4893388,0.028672903776168823,313674059.98746884,0.006841942667961121,0.035514846444129944
16,adkavy,5310388.711729841,158224362.70519507,0.007005810737609863,80112576.18697676,0.0016567260026931763,0.00866253674030304
17,adnerst,2572501.607559462,344292226.67582947,0.015668869018554688,175198352.74079868,0.0037027299404144287,0.019371598958969116
18,adpaifo,2092387.5603166604,598178111.9003866,0.02734258770942688,296776205.2816766,0.006490111351013184,0.033832699060440063
19,aducrisi,2806800.422515321,601550417.3119583,0.026780128479003906,301618294.492841,0.006382763385772705,0.03316289186477661
20,afmorc,2465501.1358270333,239327237.00705677,0.010861530900001526,125541982.79331982,0.002557903528213501,0.013419434428215027
21,afpansh,2246641.8014312848,561756585.551147,0.025624409317970276,275754788.77287805,0.006044566631317139,0.031668975949287415
22,afsfat,4013532.2029592576,697410941.8998127,0.031452104449272156,326658139.7974758,0.007517114281654358,0.038969218730926514
23,afweka,7107594.544303576,654617349.5240684,0.029563069343566895,322536561.6661203,0.007043987512588501,0.036607056856155396
24,agcowktu,2496513.1820794153,431985488.49753463,0.019300848245620728,208349981.15682685,0.004603594541549683,0.02390444278717041
