,folder,# records,eps (per record),avg func L2,avg priv err,avg priv time,avg smooth err,avg smooth time,avg total runtime
0,00000,987,0.25,4227.416645637966,26168.086894247484,0.002936154045353303,7994.395033322041,0.0004467601381174337,0.0033829141834707368
1,01000,1000,0.25,4196.633984385568,26155.281042833663,0.002927013888955116,7966.810660397556,0.0004461573362350464,0.0033731712251901624
2,02000,998,0.25,4167.646958183916,26160.98400576159,0.002925744575106787,7945.960746065819,0.00044492248423352746,0.0033706670593403143
3,03000,995,0.25,4196.500586945298,26162.066293660446,0.0029267563891770252,7958.101712991963,0.00044504390589555903,0.0033718002950725843
4,04000,1000,0.25,4040.150522137716,26135.998929390214,0.0029302409440279007,7968.018699673943,0.00044630733132362366,0.0033765482753515246
5,05000,999,0.25,4167.3242761124175,26146.320437989973,0.002930635729948202,8036.604883873412,0.0004460001821155185,0.0033766359120637208
6,06000,1000,0.25,4020.2923656078447,26122.475575404616,0.00293205289542675,7944.039336670115,0.0004463439732789993,0.0033783968687057494
7,07000,997,0.25,3975.5618367716893,26157.581193095226,0.002932677925410218,8010.670079015027,0.00044659128339742584,0.0033792692088076438
8,08000,1000,0.25,3926.9119311479017,26136.199458464715,0.002931574583053589,7915.478148915432,0.00044653958082199096,0.00337811416387558
9,09000,997,0.25,3940.3405240367993,26126.83676267014,0.0029275050851980686,7973.040289619123,0.000445479764383559,0.0033729848495816276
10,10000,1000,0.25,4101.5942634532375,26146.472646836308,0.0029284378737211227,7982.275743708082,0.0004450624734163284,0.003373500347137451
11,11000,995,0.25,4117.278248867939,26147.084709403185,0.0029291595346364542,8084.868403687688,0.00044600888712322293,0.003375168421759677
12,12000,1000,0.25,4126.671912249225,26151.290572015092,0.0029300012439489364,8056.295207647302,0.0004462657868862152,0.0033762670308351518
13,13000,995,0.25,4041.1134328228723,26142.030528288255,0.002932181085773449,8006.632382836646,0.00044661215202293204,0.003378793237796381
14,14000,1000,0.25,4002.579682470809,26121.957159939575,0.0029342371523380277,7923.134689832032,0.0004466657042503357,0.0033809028565883635
15,15000,999,0.25,3969.806837828258,26159.943984091176,0.0029287701761639036,8018.670281690486,0.0004459107304001236,0.003374680906564027
16,16000,1000,0.25,4196.156649645974,26155.53635032111,0.0029283685237169264,8070.814184951939,0.0004455861449241638,0.00337395466864109
17,17000,1000,0.25,4073.06418749401,26149.275509436535,0.0029275006055831908,8019.007619012514,0.00044544851779937747,0.003372949123382568
18,18000,999,0.25,3931.4114980939926,26124.492438774636,0.0029274872741899692,7934.7995081917725,0.0004450266246681099,0.0033725138988580793
19,19000,1000,0.25,3858.363231958467,26116.028483525588,0.0029290093779563904,7959.608534268031,0.0004455212205648422,0.0033745305985212327
20,20000,1000,0.25,3778.7389649768024,26131.806727720443,0.0029298989176750182,7966.144380468354,0.00044590753316879275,0.003375806450843811
21,21000,838,0.25,3917.0744856160377,26155.602256839687,0.0029301341791995103,8090.726834184746,0.0004461799394828323,0.0033763141186823427
