,name,func L2,priv err,priv time,smooth err,smooth time,total runtime
0,abboip,2986602.529408208,4076918.7601337493,0.01806640625,5105074.749917099,0.0034218579530715942,0.021488264203071594
1,abcoij,11387.366197969848,537079.5784821066,0.003272995352745056,355432.31069352897,0.0006164610385894775,0.0038894563913345337
2,abdremlu,4807311.561217478,3887058.004267278,0.008332893252372742,5726031.290241773,0.001581534743309021,0.009914427995681763
3,abgibo,2086456.056381533,5555963.921322021,0.019198983907699585,7515930.02407961,0.0036240965127944946,0.02282308042049408
4,abjoolaw,5028367.516228743,2421238.571618341,0.009002059698104858,3540292.23570006,0.0016971081495285034,0.010699167847633362
5,abmuyawm,5012566.654619189,6021646.747513653,0.0216558575630188,8273843.121194788,0.00409342348575592,0.02574928104877472
6,abniar,11660541.56470244,7081134.894057601,0.026828214526176453,9119948.861054115,0.005060449242591858,0.03188866376876831
7,abnovkak,4948372.404775512,3778580.20524679,0.010570138692855835,3915742.7808857337,0.0019915997982025146,0.01256173849105835
8,abtyff,4776112.598516988,3714208.6318070595,0.012661367654800415,5442765.82169411,0.002387315034866333,0.015048682689666748
9,abwecnij,2950593.8639600165,4414351.2495149085,0.015668630599975586,6175356.579056333,0.0029556751251220703,0.018624305725097656
10,acdiyito,1875663.27990679,1133866.0190321754,0.00284750759601593,1517471.8732674445,0.0005379170179367065,0.0033854246139526367
11,acduou,2034714.504787471,5982944.074028617,0.022954866290092468,7810225.886285887,0.004354938864707947,0.027309805154800415
12,acgerl,2303008.7247667033,2963577.9364505745,0.009878471493721008,3962611.931684668,0.0018536299467086792,0.011732101440429688
13,acitva,5670973.867873089,1295886.0894606833,0.004402607679367065,1527596.2053167934,0.0008280426263809204,0.005230650305747986
14,acpegho,4896341.288133755,4530995.506488423,0.018170639872550964,5652322.174944885,0.0034162402153015137,0.021586880087852478
15,acvebr,2626186.1453251145,4174427.5282812,0.01917777955532074,5005011.884497976,0.0036282092332839966,0.022805988788604736
16,adkavy,5310388.711729841,1212446.2441350715,0.004697486758232117,1633781.7213545698,0.0008918941020965576,0.005589380860328674
17,adnerst,2572501.607559462,2562973.429562521,0.010534003376960754,3548685.496908362,0.00199320912361145,0.012527212500572205
