,folder,# records,eps (per record),avg func L2,avg priv err,avg priv time,avg smooth err,avg smooth time,avg total runtime
0,00000,987,0.25,4227.416645637966,13540.458080575492,0.002040245763678198,6196.424867612518,0.0002380058607190334,0.002278251624397231
1,01000,1000,0.25,4196.633984385568,13523.506965645158,0.0020404783189296723,6174.784585122927,0.00023843412101268768,0.00227891243994236
2,02000,998,0.25,4167.646958183916,13525.59835842957,0.0020409096517639315,6159.594961145964,0.00023841947496295693,0.0022793291267268886
3,03000,995,0.25,4196.500586945298,13519.305185768422,0.0020407440674364867,6174.272232170093,0.00023809991889263518,0.0022788439863291217
4,04000,1000,0.25,4040.150522137716,13493.880746434468,0.0020428846329450605,6158.254610847742,0.0002384456992149353,0.002281330332159996
5,05000,999,0.25,4167.3242761124175,13523.603192362056,0.0020426233132202942,6253.268275056466,0.00023832360843757729,0.0022809469216578714
6,06000,1000,0.25,4020.2923656078447,13491.993755771606,0.00204089118540287,6154.117111406034,0.00023838908970355989,0.00227928027510643
7,07000,997,0.25,3975.5618367716893,13508.377988994282,0.0020435934619176593,6204.334913204654,0.00023860528452346175,0.002282198746441121
8,08000,1000,0.25,3926.9119311479017,13439.404530847823,0.002042713716626167,6078.25054910918,0.00023849074542522432,0.0022812044620513913
9,09000,997,0.25,3940.3405240367993,13489.361847472184,0.0020425380202927584,6169.368557154242,0.00023825230486055794,0.002280790325153316
10,10000,1000,0.25,4101.5942634532375,13494.325144198523,0.002041687771677971,6182.160464575638,0.0002381795197725296,0.0022798672914505005
11,11000,995,0.25,4117.278248867939,13547.189770117779,0.002042726206420055,6298.642100247772,0.00023821960741551078,0.0022809458138355657
12,12000,1000,0.25,4126.671912249225,13504.809264229643,0.002041282996535301,6245.494884130983,0.00023831889033317565,0.0022796018868684767
13,13000,995,0.25,4041.1134328228723,13507.057224078093,0.0020421494491136252,6216.433714933907,0.0002381828861619959,0.002280332335275621
14,14000,1000,0.25,4002.579682470809,13450.4237168663,0.0020387311428785326,6107.154883140535,0.00023806627094745636,0.0022767974138259888
15,15000,999,0.25,3969.806837828258,13500.71238971101,0.0020381464465363723,6222.371192135797,0.00023800435963574354,0.002276150806172116
16,16000,1000,0.25,4196.156649645974,13517.523635595893,0.002037185415625572,6261.097114742736,0.00023798754811286927,0.0022751729637384413
17,17000,1000,0.25,4073.06418749401,13504.481820356901,0.002037146836519241,6228.417448927903,0.00023791025578975678,0.0022750570923089977
18,18000,999,0.25,3931.4114980939926,13459.485860108869,0.002038725533404269,6118.690297035601,0.00023817653591568405,0.002276902069319953
19,19000,1000,0.25,3858.363231958467,13484.627731428065,0.002040356323122978,6175.3600614225015,0.00023833633959293365,0.002278692662715912
20,20000,1000,0.25,3778.7389649768024,13460.922701341055,0.0020365416705608367,6152.830206266077,0.0002379981130361557,0.0022745397835969923
21,21000,838,0.25,3917.0744856160377,13546.013929685381,0.0020373765032445047,6301.11738726736,0.0002382872248321843,0.002275663728076689
