,name,func L2,priv err,priv time,smooth err,smooth time,total runtime
0,abboip,2986602.529408208,59547550.68215771,0.02675682306289673,21542037.43360061,0.006449759006500244,0.03320658206939697
1,abcoij,11387.366197969848,11100709.165575199,0.004872426390647888,3707018.2400729153,0.001176580786705017,0.006049007177352905
2,abdremlu,4807311.561217478,27906959.302679583,0.012403354048728943,12632640.188727826,0.002993643283843994,0.015396997332572937
3,abgibo,2086456.056381533,62847813.909320384,0.028423160314559937,25642547.665611982,0.006880253553390503,0.03530341386795044
4,abjoolaw,5028367.516228743,29128550.089746535,0.01343052089214325,11585892.020146342,0.0032597780227661133,0.016690298914909363
5,abmuyawm,5012566.654619189,70964348.89328544,0.032129257917404175,28331507.063685443,0.007805630564689636,0.03993488848209381
6,abniar,11660541.56470244,89137841.58750446,0.03988771140575409,35055594.29889479,0.009678110480308533,0.04956582188606262
7,abnovkak,4948372.404775512,35527354.84795135,0.0157841295003891,14016683.833244754,0.003836691379547119,0.019620820879936218
8,abtyff,4776112.598516988,42045671.692154855,0.01896175742149353,17388159.030006006,0.004600852727890015,0.023562610149383545
9,abwecnij,2950593.8639600165,51360249.68346348,0.023362159729003906,19991609.52781555,0.005671858787536621,0.029034018516540527
10,acdiyito,1875663.27990679,9246102.363491591,0.004237145185470581,4367752.31517842,0.0010273605585098267,0.005264505743980408
11,acduou,2034714.504787471,75622419.73741727,0.034116312861442566,29676331.97002763,0.008279606699943542,0.04239591956138611
12,acgerl,2303008.7247667033,32392229.08494358,0.014741063117980957,13307413.231087798,0.0035727769136428833,0.01831384003162384
13,acitva,5670973.867873089,14599865.698388178,0.006556674838066101,5748075.576919602,0.0015895217657089233,0.008146196603775024
14,acpegho,4896341.288133755,59622671.39603973,0.027135685086250305,23548806.43396449,0.006519332528114319,0.033655017614364624
15,acvebr,2626186.1453251145,63095030.98027638,0.028607279062271118,23514580.59254724,0.006941214203834534,0.03554849326610565
16,adkavy,5310388.711729841,15638145.362813912,0.007006242871284485,6129952.403034331,0.0016925781965255737,0.008698821067810059
17,adnerst,2572501.607559462,35177730.50678931,0.01564610004425049,13960221.255989622,0.003776043653488159,0.019422143697738647
18,adpaifo,2092387.5603166604,60487335.59466565,0.027235418558120728,23064795.151008263,0.006602570414543152,0.03383798897266388
19,aducrisi,2806800.422515321,59883008.02640718,0.026691988110542297,26270729.822071638,0.006479352712631226,0.03317134082317352
20,afmorc,2465501.1358270333,23976549.9028406,0.01082262396812439,9450520.23779136,0.0025983303785324097,0.0134209543466568
21,afpansh,2246641.8014312848,55926706.93523034,0.025531113147735596,22085206.46320238,0.006149724125862122,0.03168083727359772
22,afsfat,4013532.2029592576,69925748.54745497,0.0315236896276474,27273668.66383642,0.007649317383766174,0.039173007011413574
23,afweka,7107594.544303576,65216368.48440853,0.029499411582946777,25438300.63220553,0.007167428731918335,0.03666684031486511
24,agcowktu,2496513.1820794153,42994895.560391776,0.019212380051612854,16107379.595927432,0.004674285650253296,0.02388666570186615
25,agdrea,4333532.500004127,55862412.92029748,0.024965226650238037,25534824.074749775,0.006059601902961731,0.031024828553199768
26,aggjuo,2177821.300540907,53873561.28952072,0.02421875298023224,21907570.06586907,0.005871787667274475,0.030090540647506714
27,agivle,5936923.293313465,62260080.67508863,0.028193533420562744,23928152.804020982,0.006841883063316345,0.03503541648387909
28,agjitfa,2971941.2052513757,72092862.92108752,0.03244912624359131,26790920.485831965,0.00787787139415741,0.04032699763774872
29,agsuec,1811007.0575631668,56832994.77458921,0.025859341025352478,23472876.73454612,0.006273820996284485,0.03213316202163696
30,agvexpia,3333679.566933286,24248769.113961272,0.010946080088615417,11491024.634159036,0.002659514546394348,0.013605594635009766
31,aichash,3701214.4821509696,13507038.35937092,0.006199344992637634,6541811.978150075,0.0015031099319458008,0.007702454924583435
32,aimidd,2160110.2789674583,32256253.41305748,0.014596477150917053,11753341.506231524,0.003552258014678955,0.01814873516559601
33,ainplin,4942870.041729553,50447578.73551093,0.02276819944381714,19748404.0732283,0.005538731813430786,0.028306931257247925
34,aitpygg,9727044.5525845,61545315.088615514,0.028072714805603027,26060353.690080397,0.006811037659645081,0.03488375246524811
35,aivtytan,5008330.827247719,74941736.55814657,0.034330278635025024,29771555.704213437,0.008329689502716064,0.04265996813774109
36,aiwalb,4128958.9740377907,32682087.03133081,0.014812380075454712,13961379.269812983,0.003593236207962036,0.018405616283416748
37,ajixdo,2212291.493175668,32132915.56305517,0.014400750398635864,11698225.147228828,0.003497704863548279,0.017898455262184143
38,ajsips,2519682.078651383,72039656.8705354,0.032269805669784546,28451674.468167424,0.007796734571456909,0.040066540241241455
39,ajsnedsi,4679479.500689564,48631674.40489067,0.02197064459323883,19682636.43392135,0.005326360464096069,0.0272970050573349
40,ajthof,5241849.694030637,53608927.6355932,0.023756936192512512,20710451.884611137,0.005751162767410278,0.02950809895992279
