,folder,# records,eps (per record),avg func L2,avg priv err,avg priv time,avg smooth err,avg smooth time,avg total runtime
0,00000,987,4.0,4227.416645637966,3174.548423740978,0.0029639137008632206,3768.6091288701427,0.0004599192826098101,0.003423832983473031
1,01000,1000,4.0,4196.633984385568,3140.7398388258216,0.002967824637889862,3748.520745193194,0.000459757998585701,0.003427582636475563
2,02000,998,4.0,4167.646958183916,3131.97458527193,0.002967791859515922,3711.175548471643,0.0004598856091738225,0.0034276774686897446
3,03000,995,4.0,4196.500586945298,3153.438602612637,0.0029709845781326293,3745.031591004173,0.00046005129215106295,0.003431035870283692
4,04000,1000,4.0,4040.150522137716,3074.4991090012663,0.002970354825258255,3706.852566071546,0.00046010082960128786,0.003430455654859543
5,05000,999,4.0,4167.3242761124175,3120.3144856610024,0.002971614445293988,3827.522466817984,0.00046082668834262423,0.0034324411336366122
6,06000,1000,4.0,4020.2923656078447,3048.3384538968166,0.002969453066587448,3689.746343055291,0.00045970739424228667,0.0034291604608297347
7,07000,997,4.0,3975.5618367716893,3106.4057177636832,0.0029696770004905694,3782.9307762847366,0.00046015374638969705,0.0034298307468802664
8,08000,1000,4.0,3926.9119311479017,2981.8577379447756,0.002968023478984833,3590.6841446564395,0.0004598618596792221,0.003427885338664055
9,09000,997,4.0,3940.3405240367993,3072.4614273967836,0.002971244716237756,3721.734704577768,0.0004605259764995594,0.003431770692737315
10,10000,1000,4.0,4101.5942634532375,3109.7439849398984,0.0029722650796175005,3753.5711890056723,0.00046024200320243834,0.003432507082819939
11,11000,995,4.0,4117.278248867939,3100.9255213222423,0.0029709717286891075,3886.4831422029215,0.00045939204680859745,0.0034303637754977048
12,12000,1000,4.0,4126.671912249225,3073.3906944990363,0.002972856104373932,3829.4620786149594,0.00046000714600086213,0.0034328632503747942
13,13000,995,4.0,4041.1134328228723,3103.505542132103,0.002971111559987667,3775.3711710681464,0.0004593074321746826,0.00343041899216235
14,14000,1000,4.0,4002.579682470809,3008.9072702601475,0.0029665743112564087,3634.624794270649,0.00045834219455718995,0.0034249165058135985
15,15000,999,4.0,3969.806837828258,3084.087308940915,0.0029673445839304346,3777.7267903217758,0.00045968368425741566,0.0034270282681878503
16,16000,1000,4.0,4196.156649645974,3090.979130512902,0.0029663478285074235,3850.9043837854615,0.00045909713208675386,0.0034254449605941773
17,17000,1000,4.0,4073.06418749401,3089.90319847698,0.0029656501412391664,3816.339259774711,0.0004586530178785324,0.0034243031591176987
18,18000,999,4.0,3931.4114980939926,3014.785609370285,0.0029672980756015035,3645.7197002728058,0.0004600934885643624,0.003427391564165866
19,19000,1000,4.0,3858.363231958467,3016.2611091735043,0.0029667938798666,3707.0601521765666,0.0004589430391788483,0.0034257369190454482
20,20000,1000,4.0,3778.7389649768024,2998.194344002922,0.002975687772035599,3671.750137353945,0.0004599509388208389,0.003435638710856438
21,21000,838,4.0,3917.0744856160377,3057.9285183359952,0.002978609612562776,3859.4982043679493,0.00046064914482021104,0.0034392587573829868
