,name,func L2,priv err,priv time,smooth err,smooth time,total runtime
0,abboip,2986602.529408208,6182779.086437979,0.027041345834732056,5384261.25824242,0.006570905447006226,0.03361225128173828
1,abcoij,11387.366197969848,1084866.5446200445,0.004892796277999878,496368.77575204486,0.0011927038431167603,0.006085500121116638
2,abdremlu,4807311.561217478,3333015.8351499294,0.01246178150177002,5305569.780428488,0.0030281394720077515,0.015489920973777771
3,abgibo,2086456.056381533,6679825.980887361,0.02867250144481659,7422473.599295206,0.006950050592422485,0.035622552037239075
4,abjoolaw,5028367.516228743,3100064.781116726,0.013473227620124817,3317246.0684346687,0.0032724887132644653,0.016745716333389282
5,abmuyawm,5012566.654619189,7416819.71764928,0.03231830894947052,8646438.9860249,0.007853731513023376,0.040172040462493896
6,abniar,11660541.56470244,9317263.208645167,0.04002662003040314,9617264.429804169,0.009738549590110779,0.049765169620513916
7,abnovkak,4948372.404775512,3864136.805344522,0.015843138098716736,3919521.653789064,0.003843754529953003,0.01968689262866974
8,abtyff,4776112.598516988,4538337.209669631,0.018990039825439453,5087261.749561077,0.0046136826276779175,0.02360372245311737
9,abwecnij,2950593.8639600165,5450108.158290729,0.023336753249168396,6094465.860305321,0.005667373538017273,0.02900412678718567
10,acdiyito,1875663.27990679,1205566.616958175,0.0042272210121154785,1525972.3519993033,0.0010280609130859375,0.005255281925201416
11,acduou,2034714.504787471,7910656.795300935,0.034142106771469116,7584067.895879125,0.00830627977848053,0.042448386549949646
12,acgerl,2303008.7247667033,3538411.0059168153,0.014690250158309937,3670253.103465212,0.0035710185766220093,0.018261268734931946
13,acitva,5670973.867873089,1499969.9532422025,0.006560727953910828,1414488.0068518927,0.0015947073698043823,0.00815543532371521
14,acpegho,4896341.288133755,6126539.902773772,0.027126535773277283,5866219.540265284,0.006595000624656677,0.03372153639793396
15,acvebr,2626186.1453251145,6437051.361781767,0.028603434562683105,5435587.414400054,0.006949171423912048,0.035552605986595154
16,adkavy,5310388.711729841,1573690.030254586,0.007017970085144043,1660892.760814628,0.001704588532447815,0.008722558617591858
17,adnerst,2572501.607559462,3705064.586510269,0.015752285718917847,3684894.4973326693,0.003807470202445984,0.01955975592136383
18,adpaifo,2092387.5603166604,6247294.183354309,0.027393028140068054,5990597.144398822,0.006634041666984558,0.03402706980705261
19,aducrisi,2806800.422515321,6565906.398569438,0.026816457509994507,8984750.408506086,0.006488233804702759,0.033304691314697266
20,afmorc,2465501.1358270333,2491392.6114530778,0.010904580354690552,2375661.528652873,0.002629026770591736,0.013533607125282288
21,afpansh,2246641.8014312848,5858710.842472588,0.02571086585521698,5976155.245457472,0.0062272995710372925,0.03193816542625427
22,afsfat,4013532.2029592576,7591558.479680185,0.03167940676212311,9865854.31516689,0.007660120725631714,0.03933952748775482
23,afweka,7107594.544303576,6932058.929535827,0.029661372303962708,7530170.163253452,0.007175177335739136,0.03683654963970184
24,agcowktu,2496513.1820794153,4346126.963461015,0.019354984164237976,4113148.3413199037,0.004685729742050171,0.024040713906288147
25,agdrea,4333532.500004127,6094910.2056994075,0.02509412169456482,10207135.15714307,0.006076931953430176,0.031171053647994995
26,aggjuo,2177821.300540907,6016653.819077803,0.024397552013397217,7395026.7485327525,0.005895078182220459,0.030292630195617676
27,agivle,5936923.293313465,6646486.973552759,0.02839510142803192,7349057.01769781,0.006878376007080078,0.035273477435112
28,agjitfa,2971941.2052513757,7476561.366929631,0.03261291980743408,7095852.839552155,0.007871106266975403,0.040484026074409485
29,agsuec,1811007.0575631668,5953324.364248046,0.025987476110458374,5247774.336135201,0.006285235285758972,0.032272711396217346
30,agvexpia,3333679.566933286,3109991.5433091526,0.011006638407707214,5005807.825425481,0.002669394016265869,0.013676032423973083
31,aichash,3701214.4821509696,1804366.949350945,0.0062262266874313354,2763011.190988143,0.0015072524547576904,0.007733479142189026
32,aimidd,2160110.2789674583,3270724.336914911,0.014567732810974121,3131943.318744293,0.0035534650087356567,0.018121197819709778
33,ainplin,4942870.041729553,5204169.111564798,0.02273140847682953,5159940.6924312515,0.005535349249839783,0.02826675772666931
34,aitpygg,9727044.5525845,6547105.465844113,0.028068140149116516,6684976.461682083,0.00682474672794342,0.034892886877059937
35,aivtytan,5008330.827247719,7986033.280589048,0.03438518941402435,8510666.668025956,0.00836212933063507,0.042747318744659424
36,aiwalb,4128958.9740377907,3652212.35300612,0.014838695526123047,4275729.507403765,0.0036010444164276123,0.01843973994255066
37,ajixdo,2212291.493175668,3270621.4850056767,0.014433324337005615,2905986.3773724404,0.00350189208984375,0.017935216426849365
38,ajsips,2519682.078651383,7997200.334310398,0.03226850926876068,8613382.084486715,0.007818326354026794,0.040086835622787476
39,ajsnedsi,4679479.500689564,5119882.56889062,0.022075816988945007,5601840.33176291,0.005354329943656921,0.02743014693260193
40,ajthof,5241849.694030637,5728511.022874812,0.02383740246295929,5907062.314896944,0.005783259868621826,0.029620662331581116
41,ajtreo,14173203.458894173,628814.5786071343,0.0024925321340560913,834557.4487390402,0.0006067007780075073,0.0030992329120635986
42,akgicjud,3069611.0825798637,8898338.646742301,0.039411768317222595,8662902.485575397,0.009553611278533936,0.04896537959575653
43,akvutvo,1638881.5213024598,5171361.146180918,0.02310281991958618,4112371.644574928,0.005555018782615662,0.028657838702201843
44,akyeerbi,3762023.000990757,3537846.162814062,0.014591038227081299,4334391.772683774,0.0035189688205718994,0.018110007047653198
45,aldhidd,5813.448855623366,3997036.0479958444,0.017578795552253723,3040663.5590620907,0.004262000322341919,0.021840795874595642
46,alnihi,4876100.572993069,8709818.410663333,0.037232235074043274,9282909.798608614,0.008990243077278137,0.04622247815132141
47,alsheth,5796991.451561408,7628491.659731342,0.03294408321380615,9616739.496871432,0.007975488901138306,0.04091957211494446
48,amciuca,2362993.792661672,4789282.828797769,0.021137669682502747,5099723.551280627,0.005105882883071899,0.026243552565574646
49,amknywr,3376230.2563284803,8122607.511216769,0.03182204067707062,9760485.592609877,0.007695391774177551,0.03951743245124817
50,amnurgji,1765701.6068313622,3149695.564843961,0.013706371188163757,3213914.1406981936,0.003323763608932495,0.017030134797096252
51,amvefarl,2328423.478267921,3739082.2071250067,0.016697242856025696,3687608.6112772063,0.004038065671920776,0.020735308527946472
52,amwibs,1494835.2005430518,5999617.032325262,0.026432126760482788,6022532.3653442385,0.006382450461387634,0.03281457722187042
53,ancedvab,5046912.239069768,1903669.8039974198,0.008603617548942566,1695178.4572322546,0.0020785629749298096,0.010682180523872375
54,ancorjo,9970566.895061769,5341014.863855958,0.022112250328063965,8688837.448543074,0.005331739783287048,0.027443990111351013
55,ancyclsu,6390903.279111139,6680357.789641232,0.028873637318611145,8894927.498667728,0.00700320303440094,0.035876840353012085
56,andyol,1543268.0890649625,7351147.612339717,0.031065553426742554,7759244.772629466,0.007518589496612549,0.0385841429233551
57,aniajcr,1412518.956216575,9865353.710317936,0.04327830672264099,9878603.292184703,0.0104990154504776,0.05377732217311859
58,anidgib,4301188.956072956,9527728.007826887,0.04083715379238129,11284130.11014749,0.009899944067001343,0.05073709785938263
59,ankped,2323115.0169321285,2887037.536794568,0.012588486075401306,2732012.892552615,0.0030164718627929688,0.015604957938194275
60,ansyut,4722844.609506479,4911665.747199712,0.02097707986831665,5135602.539897803,0.005061641335487366,0.026038721203804016
61,anucks,1341187.508443398,2146386.0916098235,0.00914280116558075,1823792.221073081,0.0022093355655670166,0.011352136731147766
62,anupwr,2712232.535178287,1943265.3694496558,0.008393019437789917,2269808.119507432,0.002028912305831909,0.010421931743621826
63,apigcyd,2182928.1645338335,7667218.559908368,0.03370802104473114,6823149.966929223,0.00816299021244049,0.04187101125717163
64,appsri,2629797.437344682,2168626.5388689977,0.008988559246063232,2591276.0764457956,0.002160578966140747,0.01114913821220398
65,apsskyul,2088496.6668728795,3714691.7485529734,0.016002371907234192,3352012.034949668,0.00384657084941864,0.019848942756652832
66,aquawaw,1435270.76719993,7878186.583509862,0.03508380055427551,7586327.584476171,0.008441627025604248,0.04352542757987976
67,arcksy,4736082.44421175,9273428.441949155,0.04143126308917999,7886021.820267908,0.010001450777053833,0.051432713866233826
68,arcuim,4839517.032484835,4283944.744171263,0.017874598503112793,5364571.119044263,0.004318550229072571,0.022193148732185364
69,arcurbig,2694115.404055075,4480232.191014857,0.019566819071769714,4797171.122514364,0.004686087369918823,0.024252906441688538
70,arhilby,5734986.547426803,7532391.44760245,0.033501699566841125,6719796.047782435,0.008024513721466064,0.04152621328830719
71,arlwras,2518373.8349235468,7851227.5795145705,0.03196479380130768,9458955.735806387,0.007669508457183838,0.039634302258491516
72,arphaud,4635074.238956696,4156810.048197121,0.01873275637626648,3557474.852908902,0.004524409770965576,0.023257166147232056
73,artgagvu,2109941.4189948277,6647847.527171101,0.029534772038459778,5614023.351940268,0.00710749626159668,0.03664226830005646
74,ascley,2679351.443967828,8708336.091196591,0.03855273127555847,7847367.007479599,0.009301990270614624,0.047854721546173096
